N;gmean(error_output);max(error_output);gmean(relative_error_output);max(relative_error_output)
1;0.14286714244304197;530486205.67632735;0.6281843969394787;22.62414475258711
2;0.21130016103156604;530486205.6811996;0.929083216483789;0.9999999999968687
3;0.177257569498387;530486205.6824488;0.7793985201509507;11.304330545549318
4;0.23017301691617356;530486205.6819594;1.0120668430172617;77.16296551164244
5;0.1817175001380483;530486205.6780427;0.7990087593659225;25.713517688718692
6;0.17880329186227056;530486205.6780449;0.786195035111549;27.01384675587166
7;0.1957149631235913;530486205.677997;0.8605553661916424;713741.6177476911
8;0.1830251590151302;530486205.6789827;0.8047585132215355;1195.3976285724716
9;0.20613420521394032;530486205.6787565;0.9063685965619617;4167.205594886788
10;0.16635617081579024;530486205.67879075;0.7314652554399689;9224.63241894348
11;0.23064481347516724;530486205.67727804;1.0141413244678004;1635.1182106004144
12;0.18706432007701698;530486205.67721564;0.8225186357550587;3040.176734750038
13;0.25244279421328814;530486205.6772101;1.1099866752623964;394.2493169096137
14;0.19809060016430322;530486205.6769106;0.8710010018797899;3136.571645388639
15;0.13737781018803047;530486205.6765938;0.6040478963190538;41.893392162747006
16;0.6462483609080147;530486205.67489433;2.8415430583136123;21763.560558030604
17;0.4780228097781518;530486205.6695022;2.101858169407435;6264.67565826099
18;0.2762456733463904;530486205.67026514;1.2146475302214885;1435.5427575764393
19;0.6198372221688285;530486205.67057276;2.7254137302004313;48524.447959122146
20;0.8755139172547856;530486205.6750799;3.8496198126317593;18386244305.832672
