N;gmean(error_p);max(error_p);gmean(relative_error_p);max(relative_error_p)
1;11.070105931294451;579809.3102270936;1.0506016483407954;6.503267896097393
2;10.59619759212562;579809.7110761079;1.0056256665947019;1.081753028329284
3;11.847061980985838;579808.6882142978;1.1243381881318542;5.33489523146017
4;12.692712797739485;579808.5606404269;1.2045941628728498;12.398615691496191
5;12.034309930642817;579808.7552599706;1.142108840533827;5.832773929807704
6;12.846771893033493;579808.808198088;1.2192150473036152;6.317739832818009
7;12.96928474897207;579808.8704969404;1.230842055138124;1053.483408983291
8;12.66291607688186;579809.0044954494;1.2017663232620592;35.1357267917036
9;13.492753456486845;579809.0384874054;1.2805215333999498;80.304620848985
10;13.009903665416616;579809.0457358375;1.2346969686173006;109.27889961587651
11;13.40661924626615;579809.6394834813;1.2723470187387504;43.26066104829259
12;12.90885077067707;579809.6548345113;1.225106605305342;71.40427826090519
13;13.675213089944448;579809.6638693113;1.297837753574891;22.513984134901026
14;11.908064118888307;579809.6059276562;1.1301275588054873;80.2512342447714
15;11.708364850523028;579809.4241385972;1.1111752215993989;7.492801528309776
16;24.218959649936956;579809.2686538589;2.2984855869710485;148.38809569444476
17;19.28235545959967;579808.8223989297;1.8299801786431278;144.16225596523182
18;17.339857702608786;579808.6957258476;1.6456286143438419;35.010653368892264
19;21.661612565641956;579808.6384873199;2.055782122450026;402.0172120144783
20;24.52635329763538;579808.9855128627;2.3276585935317624;188901.43307514238
