N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;6.155862528233748;557438.0353514329;1.0572828542456905;6.960962185807408
2;5.863539981889497;557438.3675448378;1.0070758174995504;1.1045247701424519
3;6.5265652921922035;557437.5553703138;1.1209518648119832;5.625422314158711
4;7.038140688609928;557437.4421822671;1.2088160581408087;12.767385395109933
5;6.6548061593442;557437.5992886242;1.1429775142529084;6.27905083191563
6;7.144594191077808;557437.6456902219;1.2270996800406606;6.283889390053928
7;7.219284887750227;557437.7013027878;1.2399279705687907;1021.5174391550572
8;6.83118625468429;557437.8230497914;1.1732711814324457;33.358932918380816
9;7.363025175010905;557437.8502042997;1.264615679316028;77.6890765950732
10;7.107116678731103;557437.8558097482;1.2206628353187041;118.47279141551043
11;7.330209763306746;557438.3242791919;1.2589795605770713;43.75896178284988
12;7.121560511601476;557438.3370101374;1.223143595207898;64.73856564158945
13;7.3801676745619424;557438.3460695859;1.267559941110553;20.87016090386386
14;6.531291247229692;557438.2987183415;1.1217635579269867;67.58025711782432
15;6.4340180493953145;557438.1409487616;1.1050566734284717;7.422216947285856
16;13.021427425278288;557437.993673591;2.236458642701609;149.43773024905613
17;10.4984104725209;557437.6115451028;1.803124962346181;111.94907681248299
18;9.435478598799161;557437.5083755552;1.6205640880311913;36.555989305383
19;11.898246285343754;557437.4676343448;2.0435498251283817;276.7977893757113
20;13.342070259968759;557437.7665024349;2.291529750917576;170057.4307048557
