N;gmean(error_y);max(error_y);gmean(relative_error_y);max(relative_error_y)
1;54.33793176097048;3380832.0100146295;1.5627438773814137;6.191363489695757
2;37.14610806763575;3380833.0716882655;1.0683117864442124;1.2343539162208812
3;38.18525897866953;3380828.4828502783;1.098197479021489;4.933432323003956
4;41.074286833518045;3380828.387529468;1.1812851204799324;18.886991661174346
5;35.28161474122742;3380829.4895856013;1.014689474445287;6.48942970334095
6;37.3050276702082;3380829.6268277112;1.0728822702272274;6.242807504361589
7;37.53362874903995;3380829.8432444977;1.07945677398049;547.5836665660077
8;33.20179604990614;3380829.8723479486;0.9548744645508482;28.31553819034733
9;35.339481899174295;3380830.1316874176;1.0163537178909285;37.57127021268223
10;33.826201666028204;3380830.2250654185;0.9728321972428058;66.68146514701185
11;28.818692179137056;3380832.995530603;0.8288176104162001;33.63632414823116
12;27.76075973944542;3380832.9666375294;0.798391766273218;36.423888234562
13;27.939563934977944;3380833.024509029;0.8035341254459543;11.825973367637435
14;24.71800990579082;3380832.894511865;0.710883123252644;31.200329050379224
15;23.706045846170216;3380832.079422587;0.6817793169970282;7.484257371138491
16;51.11282398066672;3380831.479651042;1.4699906702896228;115.32904241464455
17;40.22334930027245;3380828.6243867767;1.156812392552721;43.44808313935539
18;35.996204845887995;3380827.821074346;1.0352408880656663;27.847593320245092
19;45.18230422821619;3380827.5867050216;1.2994305637032975;82.44456100776863
20;52.27987963647205;3380829.361440797;1.5035548679240853;61074.07412429619
