N;min(speedup_output);gmean(speedup_output);max(speedup_output)
1;198.7690248505719;449.004160456954;630.6826814677772
2;232.04051261963122;477.0087623600521;758.0186781353124
3;240.74565498716422;455.3058993667233;732.9507750193957
4;162.27760642806174;459.0106945081278;702.2611138859488
5;227.74383028129932;452.12388174419806;648.0414589732261
6;244.90909706576335;451.78017890464895;651.6809435632797
7;211.04583780015616;447.1243606764521;640.7314335904593
8;215.05159285656072;432.4478830551292;641.5470878783708
9;252.7801312681474;433.8330722620692;619.7971478279998
10;209.72788442757076;429.78595336722094;637.9711913869768
11;179.6584649670201;427.5930600994795;633.1084517733708
12;196.86223792017057;410.7043483342322;565.2136436622636
13;34.76429512389921;387.18325728265876;593.6089798851377
14;168.13971870186842;392.5088792792923;589.9865724476772
15;202.91948443820485;396.4105869534997;615.086087352437
16;224.9644035150806;371.6174046284597;555.3530821488314
17;209.19323582683245;380.86272645666395;533.353099019017
18;215.35141614264637;367.89570309294527;528.9623310023603
19;169.44582846661592;363.0401201804769;493.50349466580883
20;206.50208764086608;354.6897293497103;536.7805177719652
