N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;238.63936183580958;543.5839157018864;767.6974053992651
2;280.52347266669955;593.9167487540894;969.2819893469559
3;288.03127109799897;564.208375459578;969.8675715470238
4;233.29946453391057;571.3236654553916;857.4390252166155
5;274.1992506856384;552.71307066929;786.7275940618838
6;294.6908989670317;554.9993816055418;816.0609894570014
7;262.6576784162869;552.1487961040797;808.6273679839733
8;276.56704942289997;528.673044402268;777.8827582505002
9;307.7168534951091;528.9378295204863;773.4269255394987
10;241.5269263088201;525.8951572634127;802.7863470729586
11;281.3703999546837;524.9698272844373;823.3461702845738
12;234.2730121911632;503.8288605950956;743.156125030606
13;32.20561192970198;466.26756296965016;716.9007097367922
14;232.90107320929556;474.8873231572918;715.6690487956403
15;227.08342843171815;482.6553338327646;761.9386957690782
16;248.4088546423817;448.7685908658567;664.638873960111
17;246.7505638259488;462.8327070365674;649.2358136891246
18;245.52412458860647;445.13626018883224;685.073604544815
19;186.36634670722313;435.7193865980845;636.0905983494891
20;235.47105025148642;425.1846785602056;625.2492775155685
