N;min(speedup_output);gmean(speedup_output);max(speedup_output)
1;6.178667185863795;84.26993741384389;115.43180141394888
2;44.093110794190395;87.81390217505235;117.83326987278724
3;44.8957614377536;85.57863157787956;116.3701663547772
4;45.01734220476441;87.70453977661428;121.73217118593483
5;41.911379845939635;84.67466588158189;116.72075972105775
6;42.739176332480724;87.20705854617981;119.42984636357636
7;44.16345801454055;85.92410806757897;118.10450317690108
8;40.43467155491103;84.59574448838289;117.98385501004418
9;37.58570725258522;84.90831666096766;114.36963297236537
10;42.56191688333444;79.04156550954278;115.5929401014
11;41.78533141145947;82.98998759673944;109.41664853962885
12;42.023832309202106;78.28573427069833;111.41025350227208
13;41.45825378090219;84.55303678094714;110.66920689040894
14;42.78238383386579;77.32033692066082;107.91567617678108
15;41.8253882295939;82.44068437976135;107.20187677679957
16;42.84215635458996;77.28980790954479;105.05069408486627
17;39.80504032246417;79.7879937416464;106.99387837119465
18;33.33415272608826;76.00484326212188;102.55615817679742
19;42.08343387259222;76.90632338186822;104.56146665108706
20;38.871624828073976;73.510145123378;101.52882185099539
