N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;5.819266951998378;100.61640763453173;137.26972182618204
2;45.33008391921434;106.56661078615119;144.21050066486313
3;48.7700482009422;102.23953359861984;142.2009601411435
4;48.384309659226986;105.31653259465985;146.29417147369418
5;44.97211805734555;101.60248770745847;141.71318438066908
6;43.04885831579688;103.92503051388137;143.3721829269086
7;49.39295222217924;103.85594801692942;142.55272454782738
8;42.17000936096178;99.86109951868922;141.55199330403727
9;39.97594048868105;103.29212327622488;136.2348888248164
10;46.403574651062456;93.46199288794614;138.5156228617956
11;42.483722612400506;100.43849278360348;131.79484114900535
12;46.17169094910575;91.73829506149593;133.88561786292314
13;42.21556951585873;100.98167114262151;132.0825354355738
14;45.503814659910184;92.36363037201583;128.0761595579661
15;43.89119596726157;97.26255861773525;127.48710517333525
16;44.0516019591886;91.86298266593052;123.75234744945536
17;42.64550697446615;93.21825118596979;126.36009172070517
18;40.84534007564967;90.26601840217654;121.73495719580322
19;46.62218917942728;89.77316618522626;123.52429001017947
20;40.860021029035316;86.748529657638;119.50238036609952
