N;gmean(error_output);max(error_output);gmean(relative_error_output);max(relative_error_output)
1;0.000209242025097077;0.0007009378469036986;0.0011492117642571116;0.00415074432235702
2;2.675308439244562e-06;0.00016835502425277538;1.46934915678137e-05;0.0009969481090860446
3;1.1100311838518156e-06;2.2223776199092882e-05;6.0965807159575596e-06;0.00013160255689887346
4;7.540459720501993e-07;7.2761338362759e-06;4.141417105233717e-06;4.189300468054536e-05
5;2.0258046210347928e-07;3.560197230884077e-06;1.112624723212031e-06;2.055720697634436e-05
6;6.69065140328875e-09;1.408833285865274e-07;3.6746802176261866e-08;8.29717388967636e-07
7;3.0892653712729456e-10;5.959430421365042e-08;1.696705098285992e-09;3.5097432028037375e-07
8;3.143924942109849e-11;2.460039538743075e-08;1.7267255599049697e-10;1.4488141381394395e-07
9;1.1841074735345964e-09;2.1686320461622444e-08;6.5034270151963625e-09;1.2771927928066785e-07
10;8.247124709177024e-09;9.260353761586515e-09;4.5295359441701935e-08;5.055036034689181e-08
11;4.857115795083059e-09;7.957572850658678e-09;2.667654649910223e-08;4.7122366805443485e-08
12;5.208914367964646e-07;0.00018385041722063233;2.8608715997159715e-06;0.0010258552679622325
13;1.9729050576422668e-07;6.779180294469445e-05;1.0835709035758641e-06;0.00038940947239495666
14;1.2331273260633442e-06;4.900600528379151e-06;6.772656827811883e-06;2.8861565918233184e-05
15;3.267874824396997e-05;0.00034609485063491485;0.00017948020674022415;0.0019880370093461447
16;5.22938872513579e-07;3.1851373203661826e-05;2.8721166505683346e-06;0.00018758527694314625
17;2.3158949520782385e-05;5.515520782159444e-05;0.00012719498974822092;0.00032661264722000073
18;3.718142699568932e-05;8.016247494824214e-05;0.00020421009257336724;0.0004746982050224732
19;5.952008494430652e-05;7.538427196179809e-05;0.00032689982710617106;0.0004115114074489617
20;2.2032331728960482e-05;3.455715215891497e-05;0.00012100731105612994;0.00019072860275977567
