N;gmean(error_p);max(error_p);gmean(relative_error_p);max(relative_error_p)
1;1.709926316611287;17.732015573114307;0.027235271790471888;0.5481420234222819
2;0.16760236672209355;1.743193868215879;0.002669527900739505;0.05388658780505161
3;0.0190677346432747;0.21710090793813067;0.00030370603130277265;0.005547694613765586
4;0.0017250038222592677;0.03859000264620255;2.7475422468460745e-05;0.0011883629062111537
5;0.00025556015004356107;0.003932625788114193;4.070497118872298e-06;0.00010049247195637779
6;2.7940618037917336e-05;0.0008888120241899141;4.450310629551127e-07;2.643237247014587e-05
7;1.9966770923405837e-06;0.0002993773059113566;3.180256526811905e-08;8.903178899014244e-06
8;9.011675021500201e-08;5.6488354130152406e-05;1.4353566941081173e-09;1.6799066348754225e-06
9;6.62481851155178e-07;2.0205104762549388e-05;1.0551842554375922e-08;6.008794214601086e-07
10;6.030290525580059e-06;6.9254008056288085e-06;9.604893488344172e-08;1.0390222815365218e-07
11;3.9098322141106736e-05;4.205768468957733e-05;6.227481381623412e-07;6.309941146913955e-07
12;0.001117095524418849;0.38070406606790097;1.779281360132635e-05;0.007144208908119007
13;0.0032533814680000207;0.20034971065940732;5.18190331701923e-05;0.004903146363860634
14;0.009584088819052976;0.014475556192318162;0.00015265293089834867;0.0003699015627436717
15;0.08819648858558926;0.7428626051104118;0.0014047712549124002;0.018180031651191846
16;0.02611101399860841;0.08899346648942975;0.00041588959481379665;0.0026465758671548193
17;0.02456770179467565;0.20048585276199743;0.00039130811026482514;0.006197531270338375
18;0.04662775672893523;0.16126961122627922;0.0007426750586594108;0.004985256788750486
19;0.11609689801781115;0.32556431640268446;0.0018491618854150768;0.009681954158965604
20;0.17169528745788684;0.22406812814357643;0.002734718901996856;0.003363789486125507
