N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;0.1676558728335311;0.47941789786268435;0.3487302324896427;0.911961114684175
2;0.0036677344240895675;0.05247547103300135;0.007629019233301874;0.09982019709773104
3;0.0007458674664191567;0.02010966658086865;0.0015514310985638919;0.04014916443975407
4;0.0002620271028167617;0.007999417897621354;0.0005450257777406149;0.015216699450025123
5;0.00011638697364338946;0.002895402035128845;0.0002420890821863747;0.006478281783349841
6;1.14658617591773e-05;0.0007155443896815821;2.3849403957010157e-05;0.0014285920281045434
7;1.4847105360658297e-07;4.1592093594513254e-05;3.088251199742685e-07;8.303905976782349e-05
8;2.0786743930788922e-08;2.962932558094225e-05;4.32371733907841e-08;5.915526546422118e-05
9;3.682428423743716e-07;2.423184250969593e-05;7.659583279934928e-07;4.837913277615268e-05
10;6.17881789637983e-06;6.611985282512082e-06;1.285216297585466e-05;1.3540680130036665e-05
11;5.8095755453729445e-05;6.183699964181938e-05;0.00012084125634034205;0.00012663594920056266
12;0.0007148939906474252;0.25254326546313616;0.0014870051573526743;0.5662402510779982
13;0.00020553739278740982;0.06316725464815223;0.00042752515352228576;0.14348445581391867
14;0.0015328786867247009;0.006505201426528013;0.003188442681818249;0.012987704233538525
15;0.007989413881679175;0.17842189284161955;0.016618267605694806;0.4052854337626017
16;0.011229070217976124;0.05939429022259148;0.023356869053108156;0.11858133576406103
17;0.015797220778700306;0.1154728346735994;0.03285878616561398;0.2196554102259221
18;0.01690235741365355;0.09999315165280284;0.03515751002852771;0.19020955714964272
19;0.047086071678613714;0.1381240275346779;0.09794071896193593;0.27576609847160166
20;0.03403656545858163;0.04416148845423729;0.07079727769098587;0.09046563300922755
