N;gmean(error_y);max(error_y);gmean(relative_error_y);max(relative_error_y)
1;0.3152174198763813;5.683136362560484;0.028154674108678886;0.48733255123729674
2;0.03277200204342197;1.0527937822930127;0.0029271384740835473;0.09027773523640428
3;0.009375549462473414;0.36078006921204187;0.0008374078431618956;0.03202980045023956
4;0.004040519227704015;0.15929041184013587;0.000360892180801652;0.01365925394665681
5;0.0020230938328945833;0.052073800908823;0.00018069923793793765;0.004978262892281791
6;0.00021619500691564134;0.014203648071974568;1.9310163651553788e-05;0.0012609898723185636
7;3.674654739167038e-06;0.0010230959171579047;3.282137982213461e-07;9.082973496732382e-05
8;3.740419137261246e-07;0.0005286324507580763;3.340877603806131e-08;4.6931616666858624e-05
9;9.941934742731026e-06;0.000513665804541562;8.879963956342184e-07;4.560288835664108e-05
10;8.702521080975426e-05;9.306724626172592e-05;7.772941135513988e-06;8.210234875462019e-06
11;0.0009843828286442364;0.0010467370918307406;8.792336968409598e-05;9.234137381286974e-05
12;0.014269357037233994;4.999942467988173;0.0012745142615571828;0.47195774369860055
13;0.005053604493793048;1.1938108470216073;0.000451379202496794;0.1150494274670194
14;0.026131998087129706;0.11723469356477739;0.0023340648186267465;0.010408013527260201
15;0.1403862711812483;3.431733744692843;0.01253905864717352;0.3307215741347809
16;0.25478477393031135;1.1301823486878428;0.02275693481874995;0.10033679293846764
17;0.3120587458486337;2.0893967155569544;0.02787254681412245;0.1791670948892109
18;0.31638066556794076;2.2599907592258215;0.028258573199557237;0.193795642441707
19;0.9278174897504243;3.3348267894843935;0.08287105156339425;0.2960635736796211
20;0.5330427582305699;0.6855935557440533;0.04761045614122007;0.060495280038306926
