N;gmean(error_output);max(error_output);gmean(relative_error_output);max(relative_error_output)
1;6.46646105384622e-05;0.021822569069513215;0.00035550145736145544;0.16343525563923825
2;0.0010454298636088403;2.3513228838909117;0.005747376145736999;17.609707426975927
3;2.1794465265739986e-05;3.68886970230533;0.00011981768852958195;27.626965500517976
4;2.6797130969189156e-06;0.3061939248911282;1.4732044364492488e-05;2.293170993312362
5;5.162988311110772e-07;0.5664550623677261;2.8384147892583725e-06;4.242338637183888
6;3.7754850887341314e-08;0.011585239535439301;2.075618240201264e-07;0.08676506322812008
7;3.665698547151825e-10;0.011227586818993052;2.0152617713287463e-09;0.08408650311192728
8;2.918371863848899e-10;0.021162711867424994;1.6044099579071467e-09;0.15849340254370411
9;2.596083293145617e-11;0.017811476652030117;1.427227948115541e-10;0.13339507510156778
10;4.1484414359155636e-10;0.019294784880769772;2.280655468216933e-09;0.1445039806930055
11;9.27312965601902e-07;0.019102464919529327;5.098014322773482e-06;0.14306364330973326
12;5.3560682387869e-07;0.019648719743379478;2.944562796807697e-06;0.1471546967734998
13;8.893980063950682e-07;0.019307991805380426;4.889572284051053e-06;0.1446028910043018
14;8.47716565758049e-08;0.02005260048368393;4.660423561620075e-07;0.15017947134651918
15;9.190284286458585e-07;0.02082095803677178;5.05246908656292e-06;0.15593391358066871
16;8.578388270329758e-07;0.011543552996123446;4.7160719078339364e-06;0.08645286120515479
17;1.9393260923373046e-06;0.012112661667121799;1.0661677946934155e-05;0.0907150734513318
18;2.254970918512862e-06;0.01948516322062696;1.2396973261939116e-05;0.14592977673670784
19;1.8585473825482408e-06;0.2960464454745635;1.0217587294958283e-05;1.6307732440138414
20;3.310566722734039e-06;0.01743109456043246;1.820023788628964e-05;0.09519634920994634
