N;gmean(error_p);max(error_p);gmean(relative_error_p);max(relative_error_p)
1;2.2230082373067663;14.51338786035539;0.03518280575598306;0.8152361086211427
2;1.9035449810917697;18.574592124267316;0.030126767950561746;0.6644732051309619
3;0.12030657566323003;16.247286579711325;0.0019040518211731693;0.9126314830376231
4;0.00812103020540047;5.68224865088098;0.00012852882119826717;0.3191793896045244
5;0.0005179617458732031;5.525717577013219;8.197606823159975e-06;0.31038683305149384
6;1.8042713509247204e-05;2.0984749347113336;2.855559750312772e-07;0.11787410053900281
7;1.3212578039405495e-06;1.793047299966077;2.091110410186135e-08;0.10071782808140271
8;2.6562145155800486e-07;2.0119662319413223;4.203901622114381e-09;0.11301479278214663
9;1.3423952141467146e-07;1.6683156398220613;2.124563880352719e-09;0.09371148647349833
10;1.2673327762137981e-06;1.7758329328625753;2.0057650774943026e-08;0.09975087441180713
11;0.00027897996770533524;1.7654092529759695;4.415322376618256e-06;0.09916536258575849
12;0.002976295584551227;1.6979220155683237;4.710483194183768e-05;0.09537451558744411
13;0.0004082730139681268;1.1856077441627015;6.4616000538320025e-06;0.06659714830212111
14;0.0006960612047609434;1.90805886699111;1.1016327222902873e-05;0.10717817925854074
15;0.0014181640224474668;1.4419442210768865;2.2444806319000423e-05;0.08099590577679776
16;0.0010013616535207738;1.246181868834992;1.5848215025057382e-05;0.06999967665429599
17;0.006936045661769722;1.1899823901086355;0.00010977446828011818;0.06684287792582257
18;0.023364536268066786;1.516920731696459;0.00036978267885049587;0.08520743511395938
19;0.02074517749313854;27.4640171136954;0.00032832696607491954;0.45282074080915247
20;0.04627486445241149;77.27330290034205;0.0007323767587051773;1.1649367046889647
