N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;1.8071331960625858;26.5504271337753;6.690518378237602;7.812808597368147
2;0.4415313987851742;31.973407119708188;1.6346741593688572;80.53950459557703
3;0.16822210833359313;1021.3857466826311;0.6228058395939085;300.16666505891834
4;0.01038555829591085;0.48510183023901127;0.038450275164245845;0.3448907995661545
5;0.0010645779859320252;1.286776632307258;0.0039413689015642;0.14688931197022095
6;8.324804565302732e-05;0.3459339193302353;0.0003082078181107421;0.2459471776803528
7;9.024529257813836e-07;0.4567003465453872;3.3411360593619055e-06;0.3246983166494587
8;2.6951747686724405e-07;0.19774675479248707;9.978299530800502e-07;0.14059117513201358
9;2.5702347685711923e-06;0.09711677862049704;9.5157363015511e-06;0.06904670595287077
10;3.0223509920649155e-06;0.1421515982695484;1.1189598476721615e-05;0.10106492148800114
11;0.00020179044574793336;0.12330173728392385;0.0007470853220841107;0.08766331542966123
12;0.00028311386701579264;0.09735089155595894;0.0010481676361931425;0.06921315223789189
13;0.0009603571659240921;0.0738581367220559;0.0035555139390316417;0.05251060754808035
14;0.0017369207447254763;0.05508747475257844;0.006430572018403376;0.039104640431838304
15;0.0010218861921124256;0.7659959211958302;0.0037833118021913764;0.544596885143637
16;0.002283042468543711;0.07266070820774048;0.008452469152450692;0.04370810098732325
17;0.023357947346960308;1.4301287576676314;0.08647772966776487;0.13762057063363714
18;0.012825749115690637;0.28234359061684056;0.04748455197445274;0.3647481427283319
19;0.03608429031488306;3.71244665513175;0.1335942519585175;17.02482307694107
20;0.012047109766463691;0.5526249605507711;0.04460180880567453;2.541506218412052
