N;gmean(error_output);max(error_output);gmean(relative_error_output);max(relative_error_output)
1;1.110317073395808;1913.7334576262624;6.1041013691830575;10473.732439223622
2;0.11610622924298486;0.1184474635471226;0.6383079301169483;0.7484436239631158
3;0.09233080793307841;0.09866566910148868;0.5075996979839016;0.5385939422960604
4;0.10646195145011524;0.1135196959692833;0.5852873554623682;0.6196787711180077
5;0.04660023486165217;0.05626099962007604;0.2561903840254294;0.3176796969814958
6;0.1131374124602621;0.1200844724453548;0.6219865035420622;0.656621063866932
7;0.06793351926574356;0.07578629368224774;0.37347267541802914;0.4137005207388084
8;0.06702749736903327;0.080605446565994;0.3684917113018015;0.44000720444978086
9;0.0721271409751139;0.08625240063131441;0.3965276140759687;0.4708326706904978
10;0.6761078974876977;0.9573624781889286;3.7169843116506955;5.264678971868066
11;0.04664164326722817;0.053164236644236085;0.2564180317048433;0.2902117429916437
12;0.07458825556503001;0.08664854776750641;0.4100578869124273;0.47299514979547885
13;0.0562799517624614;0.07759451662222117;0.30940578942924357;0.42357120758114564
14;0.07596524402319273;0.0872190200106232;0.4176280462247696;0.4761092308855762
15;0.02861283980690851;3.303371400323056;0.15730252089828411;18.043343150050145
16;0.07547626605564864;0.6660775374668475;0.4149398311619703;3.6370562991173885
17;0.09064436084589689;0.23113413900246507;0.498328252717879;1.2952355310456412
18;0.17875401949478428;2258.8518568111326;0.9827216758974561;12343.666027802796
19;0.08979091660263688;7.281267264298149;0.49363634056176664;39.815022030564016
20;0.09029425074565839;10.795102856089349;0.49640348042225513;58.93267755250946
