N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;0.25773423692678316;28.755151391337005;0.9542050650260797;0.9998751132281366
2;5.05482918707095;30.135655421972547;18.714407797187494;21.869214903482685
3;7.959038013743592;29.32224888770668;29.466610552042024;37.313762472055714
4;2.0414492477219985;28.9258280889554;7.558022695771635;16.747406317474205
5;6.843997259071641;34.21347369235846;25.338414203332903;31.51833266319409
6;2.6373293091141976;29.08461697192698;9.764139273485036;11.762631150056228
7;1.8156077184614066;29.48210728919636;6.721893457827548;7.787279878366977
8;2.093177586080651;28.597070646385117;7.749535639708647;9.896210102839762
9;4.589450691869785;28.733088265264485;16.991444939903932;27.740465421326714
10;2.064950066197623;29.282996961550342;7.645029374779788;26.518230251704914
11;2.656044339599622;29.173424835343656;9.833427611325773;15.21984929262481
12;1.6700635136591917;28.96550644403925;6.1830476332935;7.196058917816869
13;1.794757126358678;28.901259860326878;6.644698666671928;8.753739157653587
14;4.208733649627887;29.14103263100119;15.581922734469641;19.115888441241104
15;1.5439116040556078;446.8016122282684;5.715997572184821;655.9210899340463
16;2.6198958705950264;29.18360704032539;9.699595751700071;11.5934604768051
17;3.913014972539147;29.327892337187563;14.487088525147849;18.549409093183375
18;1.8742574145715327;30.349766254337872;6.939031226398129;11.289412499189048
19;1.1000802905160276;29.24045968082422;4.072808477687632;7.9366914206008525
20;0.49231875976308953;28.82447062795702;1.822703338814666;8.030116782790909
