N;gmean(error_y);max(error_y);gmean(relative_error_y);max(relative_error_y)
1;115.80046758442671;8253.231545583192;1.5989852428238234;1.7472264920649456
2;798.5562912128886;9195.338623603133;11.026550685407171;13.74007801755007
3;1336.052229859341;7310.538390246221;18.44835209865985;25.09559520100365
4;295.90378150993587;8618.068477293864;4.0858710659798945;9.777177555332925
5;517.5512540353259;8540.646677871871;7.146403074789849;9.372594508131629
6;208.4540411506931;8433.073073693766;2.8783556971731437;4.15331455517246
7;265.76429207181775;8575.752986649533;3.6697017719944482;4.391206404200896
8;316.8028525911071;8129.249619896945;4.374447674905553;5.658081410435033
9;700.7850715906847;8077.640432399947;9.67651522691638;15.591103778141294
10;206.34156892967732;8517.321063377936;2.849186454788027;10.078161854483163
11;169.6391801632088;8356.01574999636;2.342395944886337;2.928934789597862
12;184.71658147588022;8343.572427447889;2.5505863149426347;2.9604930631209805
13;228.1908635489011;8323.243047930746;3.1508838519663027;3.952001389888455
14;276.76077611554217;8383.137839324805;3.8215423998921243;4.4820948856405085
15;258.12594540846044;25546.48918387322;3.564230664242866;150.5843398260655
16;167.415985153312;8310.864883231729;2.311697830389063;2.6494273051869768
17;234.36612964835425;8334.448545969817;3.2361525867953467;3.7349648187782822
18;244.61503500528963;8063.872942365388;3.377670568222236;3.6282429767860456
19;157.48950658242552;8266.955320001924;2.1746319525118216;3.2626404309331645
20;125.88128425254598;8269.586436903155;1.738182237656191;3.0765950573258194
