N;min(speedup_output);gmean(speedup_output);max(speedup_output)
1;65.9924426754782;94.99688589862319;100.93293894696743
2;82.68411056887926;103.85605179971246;109.58784022053729
3;66.48260688526118;102.7986858886265;108.82996665630583
4;70.54006696211661;102.37087346936651;108.45537437162669
5;75.68495577035326;99.58254933533398;105.8680608996433
6;67.46427277638705;98.44618598419125;104.4122635857007
7;61.171679277562525;96.541871955514;102.54650641937016
8;53.02176305917193;95.41868672265664;101.1062293877663
9;70.71665353439462;94.67736266893574;100.36320023092831
10;62.90318304971926;92.00881384532146;96.3209067406963
11;73.92351860188502;90.04296281447441;94.7223143622793
12;56.93070605591323;88.14611289619322;93.92153653852708
13;56.612162077367124;87.45927317008676;92.4987771070867
14;59.77546898376568;86.64991189815872;91.48407131195327
15;74.43262213399349;84.86081139106568;88.49592937999783
16;55.77819921739502;82.18189265144397;86.50397933934396
17;51.900258415295504;80.74210563954792;85.03559309135582
18;53.55489155877308;79.03963863447088;83.37473325053158
19;68.44595557436081;77.59697788807286;81.49579683189377
20;63.95290442657974;74.54716739989374;77.92971748970625
