N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;78.2926277072991;123.92820596359535;132.48990691265155
2;117.18046393492968;138.29328315394136;145.9641169086647
3;88.3394235110439;136.84838368406943;145.57041764020454
4;87.31746294102646;136.20231517998926;144.4041539156717
5;94.75044843693712;132.44006798944037;142.25297844343413
6;91.69418223717068;130.25588401505934;138.63164940094927
7;71.29523175967823;127.51567375946826;135.71488495244847
8;61.26112620611358;125.71233060777162;133.4924535743324
9;89.8848636243885;124.70999638954312;132.51278817439538
10;84.0682782696171;120.88120269929482;126.30466596555098
11;91.76559311253381;117.62405200042642;124.49933353326229
12;74.76810903116724;115.05480838014009;122.96385164895135
13;72.27999875694599;114.05100679802514;120.72074516693094
14;78.69507524446442;112.6960428607491;118.9935625492923
15;93.41059620496061;110.02843504797721;114.90657874258902
16;70.63816779446869;106.24718047174385;111.74751823308354
17;66.06383386653579;104.04493802068036;109.72339626382615
18;67.52483146370716;101.35280695438934;107.01984266676105
19;87.88114606868574;99.23902432001958;104.31462827984835
20;86.92867137682633;95.01605308676014;99.83337334606325
