N;min(speedup_output);gmean(speedup_output);max(speedup_output)
1;63.8174638121838;94.43449706395481;99.18217153630602
2;67.4910633002685;102.46530976234916;108.09686096663782
3;67.81864229845547;102.39945292234852;105.26400925703636
4;75.33749531807034;101.38042140525526;104.33777356485027
5;79.39135165583001;99.34553307454065;103.25733008506452
6;61.18618773176163;97.8011051305302;101.3298417482503
7;4.1795629120762205;93.62728774109317;100.8853448755935
8;76.07108741064023;95.59400812790692;98.79391456265415
9;74.90943352419579;94.43456219359209;97.98233453322544
10;72.03571029161955;92.15455755519861;96.09945711608549
11;71.61639289009227;90.13435519529854;93.4137411084718
12;73.18003777496325;89.11248891410743;92.08083546270674
13;72.6606936373266;87.27041038845695;90.39410681934898
14;62.66201689026894;85.71953324328189;88.97439277740344
15;56.41482148108328;83.54634461201677;86.75652099865705
16;77.57571723696603;82.61720382167351;85.21746565373766
17;60.62651454545155;80.28820265676592;82.55605284703103
18;73.49324819943324;78.96742544534293;81.17411076426185
19;60.89562754467253;77.04016617927736;79.7950916430073
20;63.70620753772278;74.05829594782637;76.23560922844102
