N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;81.81537032279611;123.13690915412874;128.70013381846363
2;104.19011426475907;137.21838350567415;140.85742157303176
3;100.13857894629753;135.70724593790123;140.5193687757879
4;99.13581968804242;133.66461986498803;138.24669285456508
5;84.0793148292989;130.91249469521745;135.91586023854495
6;85.02363112334922;129.1667416663367;134.7219069088187
7;75.36216391743726;125.58903204277357;131.60368789361607
8;81.41291269431923;124.64128769322843;129.3058936465597
9;79.72842199444588;122.88841776878397;127.38758765976253
10;83.06609187947153;119.55068332486766;123.83020072359096
11;85.29854404871692;116.74116711852214;122.69832881900648
12;65.18977748889847;113.41858103288595;119.8377122393747
13;85.30203147520479;112.31046760204288;116.92603634603778
14;76.17912131246511;109.58717425341185;115.47726552147574
15;72.71345727996554;106.93856791555272;111.7030798450697
16;70.55015893577041;104.72162698083476;109.36467812670978
17;67.73864191795576;101.95106812361915;105.9680710124792
18;59.6757963749603;99.66502555125255;103.73655736010242
19;64.47049862218712;95.95705641658418;100.59429505954607
20;4.1076731444349805;90.64706639839322;96.75181046050454
