N;min(speedup_output);gmean(speedup_output);max(speedup_output)
1;70.34847080987977;103.07959381544352;107.40106698580578
2;78.19743592794045;112.88531062761243;117.92277638635554
3;82.82140506463881;112.92756982373149;117.89841198633023
4;82.94558632770871;111.4873187502546;116.05482013947444
5;98.11286019211607;110.54995075996848;115.34596318532974
6;78.68570410617066;107.10907817288839;111.4225073927581
7;77.72463632443588;106.68729884920849;111.07724125440562
8;92.61767764011235;105.90868089370395;109.27578051960984
9;102.51999817546005;104.86009044347426;108.14587073147172
10;86.93241870864604;102.15201049217433;106.10887507008822
11;95.63889021509978;100.34237912063878;103.32768401937804
12;92.61778185885247;99.05026879764547;101.80725442636329
13;85.07954752142012;96.9232421644701;99.41459950128916
14;90.46872850724111;95.8494447517182;98.63814673064385
15;60.69188778651133;93.22056165254023;96.35638919351398
16;82.5719055596773;91.31692038617614;94.34095224282565
17;79.53572400548815;89.5259644482344;92.58013985736955
18;73.26420091934621;87.35709114380901;90.28248032346475
19;56.69511942995556;85.09994158262379;88.65292616329722
20;63.052295575732124;82.42964545292455;85.07254391287793
