N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;84.38922729085681;139.10314599061417;146.0965250023649
2;109.87317237144116;155.64900720905283;163.27168218168873
3;116.64142582049641;156.4107359960149;163.2362582974492
4;104.65401796354553;153.4474895343488;159.79741121711467
5;129.4065423450112;152.3219951981039;159.20720645722176
6;111.23712436582096;147.18195112875952;153.59661566587837
7;97.68301377081653;146.29095637085106;152.8903045212358
8;121.39574241561408;145.03605520148977;149.83629993244494
9;139.514079852353;143.43074459113194;148.6452108039737
10;113.70636694828303;139.15510582376584;144.95394455692033
11;127.45741310376758;136.5236758578134;141.59241722077135
12;126.97879148883354;134.53602604402542;138.44662462675282
13;110.50594342238857;131.22939841894296;134.61606945853848
14;124.97663757565503;129.46919303433737;133.54067553870266
15;72.85979420871861;125.21422183852515;129.37353073977155
16;110.29608080763006;122.27032070306633;127.31723729366888
17;102.73679837965265;119.46534784568685;124.18605589269687
18;92.50846814414058;115.9838241331846;120.17438926977097
19;76.22892076159256;112.65199839836832;117.74667937909567
20;87.73121436642838;108.66505148552412;112.22547075637662
