N;gmean(error_output);max(error_output);gmean(relative_error_output);max(relative_error_output)
1;8.687058205145506e-08;4.2696409130460466e-07;0.00012495124368143426;0.0006118506600930527
2;7.8176690706949e-09;2.225465588756581e-07;1.1244629079319614e-05;0.00031891501351659536
3;7.121575178210222e-12;6.610006986207395e-11;1.0243394880917527e-08;9.537578222887087e-08
4;2.652322628010118e-14;3.9895864389905e-13;3.814997012659265e-11;5.756573755253145e-10
5;1.6223920761024604e-12;1.731670362659088e-12;2.3335852351930916e-09;2.498626941632418e-09
6;1.3019035469146506e-09;1.3253868003104685e-09;1.872607083994226e-06;1.8993137951501393e-06
7;5.31766853152074e-08;5.7670430125833505e-08;7.64872619485358e-05;8.264322798791994e-05
8;1.7629812539421956e-06;0.007367854366475107;0.0025358032036282745;10.600135938882074
9;2.0587302006397727e-07;2.1503824715329856e-07;0.00029611969080867775;0.0003102786589207337
10;1.307360951938181e-07;1.3569843762550882e-07;0.0001880456801687598;0.00019445939442136898
11;5.911780313038133e-07;7.430087428372811e-07;0.0008503273318095186;0.0010720872186499105
12;4.727244853534268e-06;5.3866535394686554e-06;0.006799483895317975;0.007772401693292542
13;4.498901415871041e-06;5.6429101046584496e-06;0.006471043635695727;0.008142154257960912
14;5.473614658298387e-06;6.332356997929001e-06;0.007873032997317817;0.009136957090819528
15;8.627957782869409e-06;1.071638213329118e-05;0.01241011663490274;0.015462666389897116
16;2.435200158398906e-06;2.9232739308659994e-06;0.0035026965541100855;0.004189127658881147
17;1.5376496070772938e-06;1.6344042842453277e-06;0.002211694985959388;0.0023421438957989308
18;8.326382296883989e-07;9.105710302159675e-07;0.0011976342264479018;0.001304871995668087
19;5.183524210310172e-07;7.882114685664465e-07;0.0007455778255836291;0.0011373102257404054
20;3.4857209995969744e-06;3.814170823679408e-06;0.005013724597449488;0.0055034665866773155
