N;gmean(error_p);max(error_p);gmean(relative_error_p);max(relative_error_p)
1;0.00014175073737104753;0.000684138290761867;0.0019003016167432971;0.009167665699888698
2;2.1951590186278816e-05;0.0006737791054702495;0.0002942816601502352;0.009028849397747512
3;1.1825672241855323e-08;1.1409039466930213e-07;1.585342305588878e-07;1.5300189984176957e-06
4;5.2934626268585344e-11;7.159644438546543e-10;7.096383253131569e-10;9.601502426776393e-09
5;8.107353273250287e-09;8.269978183937425e-09;1.0868667647448356e-07;1.10905249952025e-07
6;1.693015329190829e-07;1.6975845478765364e-07;2.269645877616184e-06;2.2765602811699895e-06
7;5.859904759661358e-06;6.286911747494106e-06;7.855752072454921e-05;8.424657114505949e-05
8;0.000178113621214396;0.0760400720029753;0.0023877801882027628;1.0194162041714534
9;2.1405464998575034e-05;2.2622633740613154e-05;0.0002869603396662288;0.0003033827651986948
10;1.3440233118811666e-05;1.3775326720490261e-05;0.00018017893380144973;0.00018459365889250697
11;6.093772032084195e-05;7.74296119272813e-05;0.0008169273091202881;0.0010383764350385383
12;0.0004540910698239628;0.0005185197334182027;0.006087516792779793;0.006953653245603081
13;0.0004917508463779851;0.0006341048404087181;0.006592381427695031;0.008503717211480607
14;0.0005265247369460974;0.0006090767329050812;0.007058558053599014;0.008168075634588871
15;0.0008063129176753488;0.0009905738918705002;0.010809381097247339;0.013284175922885272
16;0.0002437018916024151;0.0002872705601357317;0.0032670524838487253;0.003849514778381053
17;0.00015563498736602993;0.00016317389307365267;0.0020864330133205868;0.0021865808753121357
18;8.944916724566376e-05;9.547057026724404e-05;0.001199150002926155;0.0012793353101361181
19;8.251464417299784e-05;0.00010330837804148658;0.0011061862155714818;0.0013854258420031708
20;0.00035550606004841357;0.00039016167782041127;0.004765892250025232;0.005232296559671502
