N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;0.00027725994469414796;0.0013324763390634117;0.0009897089052882803;0.004746864049696197
2;2.465647619036023e-06;6.569076878315566e-05;8.801391807802324e-06;0.00023401927643446673
3;1.276834887294438e-08;1.2137255707364e-07;4.557798133921149e-08;4.3399529836398116e-07
4;6.844489519674963e-11;9.60725359935662e-10;2.443213439015583e-10;3.4352929466431676e-09
5;5.374560734668468e-09;5.5503016220748915e-09;1.918506702070471e-08;1.9846371095411578e-08
6;2.089129167071055e-06;2.1035237603302273e-06;7.457369088162259e-06;7.493672512497896e-06
7;8.429209627738316e-05;9.045511030070024e-05;0.00030088961614405205;0.00032224070222478023
8;0.0026968387874506503;1.151469561308424;0.009626653309085414;4.110816479659054
9;0.0003202219382227579;0.0003374412871675549;0.001143066317341103;0.0012065983912306875
10;0.00020485781274124862;0.00021005831718574227;0.000731261783275442;0.0007483196849030342
11;0.0009229627032385916;0.0011756119640973848;0.003294613679779263;0.0042036690782509606
12;0.006936588927925858;0.007929703687729762;0.024760893037995394;0.028354466618069327
13;0.007482572110716538;0.009658616503790832;0.026709838165073406;0.034536589262123725
14;0.008044944566312745;0.00931062305061628;0.028717286547155354;0.03329225919130246
15;0.012315390421040252;0.015135285852327788;0.043961097897682704;0.05411967134646235
16;0.0036868084066668597;0.004357997126004576;0.01316045531277534;0.015525093601775392
17;0.0023607693038440033;0.002478157362446707;0.00842701749047469;0.008828281409902322
18;0.001297751329801627;0.0014001153609433982;0.0046324616033925434;0.004987823856565565
19;0.0008143425827594893;0.0012237540223142703;0.002906882589916125;0.004375812002676758
20;0.005172944802198059;0.0056984825384455845;0.018465377474369122;0.02037622580526274
