N;gmean(error_y);max(error_y);gmean(relative_error_y);max(relative_error_y)
1;0.006187238308397601;0.02938080898347382;0.0007877747571847823;0.0037623439044315683
2;7.972475554685019e-05;0.00258408687405046;1.0150756575400356e-05;0.0003309038734969466
3;4.185880188896183e-07;3.961943125864652e-06;5.3295680318903094e-08;5.019856982515473e-07
4;4.887946308370281e-09;7.432622046985609e-08;6.223456289023889e-10;9.417272912724232e-09
5;3.5711819173481714e-07;3.7156783783896747e-07;4.5469187181352214e-08;4.7078348830336986e-08
6;1.6348140857073553e-05;1.640781323181097e-05;2.0814864487479367e-06;2.085118176108034e-06
7;0.0005807351815388946;0.0006228911494608633;7.394066525683016e-05;7.976399562778023e-05
8;0.01804381763468047;7.703791722990257;0.002297384284771181;0.9805101630017453
9;0.0020869880444541107;0.0021997983058467526;0.0002657205716055846;0.00027871861192658044
10;0.0013295297441932859;0.001362162208704053;0.00016927907399013118;0.0001744309588496155
11;0.005974720982891777;0.007611700885619053;0.0007607165163100642;0.0009644169193154474
12;0.0448249335581214;0.051240874656343346;0.005707223382950371;0.006492315872851137
13;0.04853761721433593;0.06263920371034531;0.0061799316123729705;0.007936505753246089
14;0.05208959968190318;0.060280466256299486;0.006632178961907662;0.007637649250200538
15;0.079736952059377;0.09799627299923007;0.010152309466078795;0.012416313400973409
16;0.023998912658185465;0.028318306728908647;0.003055601974525709;0.0036262857420046386
17;0.015308429283671909;0.016055846760942495;0.0019491077538515433;0.0020560229374724684
18;0.0087002492841459;0.009310499543738323;0.0011077376408732782;0.0011922510787671006
19;0.007835843282017415;0.009972607282117192;0.0009976792926257847;0.0012635482314778395
20;0.03503941748326005;0.038506711448617795;0.004461306842231564;0.004878873275013691
