N;gmean(error_output);max(error_output);gmean(relative_error_output);max(relative_error_output)
1;0.00025977850850887477;0.00026085400070505194;0.3736552346416366;0.3763862037769131
2;0.00025817048190062363;0.000258353452601473;0.3713423121329004;0.37277816324265345
3;0.00021812952841699103;0.00022233875720981122;0.3137489725026111;0.3208125639341858
4;0.00025850674535751094;0.00026161058223320155;0.37182598032241265;0.3774778751657294
5;0.00024551914697103016;0.0002541200046996539;0.3531451273512132;0.36416058348899394
6;0.00025086136593816926;0.0002562579717122482;0.36082916593135306;0.36722434588623903
7;0.0002642712284374438;0.00026694830174520123;0.38011738706804216;0.38254386717733635
8;0.00025543440774391835;0.00026271318275941646;0.3674068502007771;0.3764748313970502
9;0.00025240214608895293;0.00025307070049226943;0.3630453637687984;0.36335753876248295
10;0.0009968027578366784;0.0018141940352800479;1.4337620556404524;2.617700338151463
11;0.00022904994014423364;0.0002300715865511671;0.3294564651268008;0.33197026238765365
12;0.0002321429404576443;0.00023913189967003645;0.33390531566677806;0.3426822387225882
13;0.0016935239496174753;0.004153746384410628;2.435898536787273;5.993440119203494
14;0.0019879657657661818;0.00247667458609796;2.8594121158468546;3.5735934389834916
15;7.572498141707438e-05;0.0003101745628988073;0.1089198481508098;0.44755083656796085
16;0.00010483489371409271;0.00017948341127174694;0.15079040615876116;0.2589765908397468
17;4.101281623819584e-05;0.00019756033695725317;0.05899122896178244;0.2850597845662568
18;0.003667489686529685;0.0045186470712619;5.275173559321651;6.475338909254349
19;0.7986711971584659;328.6067836600907;1148.7773768843856;473035.24603728915
20;3.939459972811579e-05;0.00019577413908458685;0.056663649697255764;0.2824824798875088
