N;gmean(error_p);max(error_p);gmean(relative_error_p);max(relative_error_p)
1;0.007502258023591684;0.007569939691824835;0.10057480698769561;0.10151732386358867
2;0.019807903452602738;0.019903394780999596;0.26554352840329054;0.26691617849342714
3;0.05736411368523424;0.057533511216717424;0.7690197596203959;0.771082160339517
4;0.04551232077570118;0.05759507258602673;0.6101353570063999;0.7723836483105588
5;0.047490545829633024;0.055613059161693346;0.6366553197098644;0.7458036877175664
6;0.04667640932319316;0.05353372527872019;0.625741056065593;0.7179186027879885
7;0.04874941489083151;0.057321694031883384;0.6535316404728496;0.7687174818220329
8;0.0416291081600995;0.04735829306752863;0.5580772488903919;0.635102440796869
9;0.03031547049487376;0.030991868860687773;0.4064073221922357;0.41561910878445496
10;0.2510872582710688;0.3111299865988316;3.366060252562817;4.172435303195075
11;0.08947122606996666;0.08953586651056256;1.1994457221602401;1.2007283978465475
12;0.052087731732535586;0.05752938980931819;0.6982849095502871;0.7715028038141909
13;0.8432261575500096;1.2306855222236257;11.304237707618492;16.504213483857768
14;0.6836047664953203;0.7646531428753189;9.164363213039712;10.25444639042719
15;0.1847327961048233;0.23322984577429018;2.476516437333234;3.1277488001249623
16;0.21156786477723039;0.23685294666880438;2.836265707985057;3.1763367046357565
17;0.2727044880794344;0.3360912721684432;3.655859498169696;4.507180758823789
18;0.6416090701915312;0.7118226955092639;8.60137150617152;9.538645326744415
19;8.394342111757526;170.51871090191557;112.53403109088383;2286.1693228033723
20;0.27082709065744687;0.38155357138224016;3.630691224463056;5.116856811838399
