N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;0.009755604500255942;0.009938869278819939;0.03482366939452663;0.03553869706679242
2;0.03358583168773459;0.034250706737499796;0.11988820364778019;0.12247122453471637
3;0.04012212153914284;0.04118861461450953;0.14322018649377088;0.14727929871311396
4;0.052469908841721785;0.05259049583117741;0.1872969285109018;0.18804932910421912
5;0.11019320574652523;0.12419431223329282;0.39334638528441485;0.4440851284042316
6;0.09923170767734833;0.10438699514106192;0.354218150348308;0.37325954230393105
7;0.10658327588332131;0.11460053564309819;0.38046035612134843;0.4097803890621026
8;0.1160958480102306;0.12892567275742434;0.414416495572306;0.46100318856417516
9;0.07611002678769013;0.07686195383133437;0.27168284757685196;0.2738159280845638
10;0.4319158878098408;0.5690791371957067;1.5417697676180648;2.0348724282880495
11;0.07588827341045677;0.0760967730396258;0.2708912752764692;0.2721013919137504
12;0.13300770507038134;0.13922629830101985;0.4747851707368975;0.4978354277779873
13;0.5833705919337233;0.8619657886990996;2.082403466382458;3.0821555437695864
14;0.6360735236955367;0.6987477056464817;2.270532195027365;2.498532010075393
15;0.32678174293449325;0.39487727143064677;1.1664822389857474;1.4119738708950538
16;0.19303304390471027;0.21134850176038064;0.689052011382833;0.7557248383967491
17;0.28744642516950375;0.3388327523761054;1.0260706323712407;1.2115738928836812
18;0.8183268240826383;0.9052317374845044;2.9211047637057366;3.2248317402240394
19;12.10495473227495;243.52690993329068;43.209925291804765;869.6740159204874
20;0.20311208812589637;0.2209757646562276;0.7250302333128213;0.7901493156727495
