N;min(speedup_output);gmean(speedup_output);max(speedup_output)
1;130.76391105320968;211.38567381269456;275.54423590550806
2;145.28942975518876;233.54885293753148;306.7113857560494
3;136.80087640806167;230.2541150500271;305.7057238571096
4;145.95750561334853;230.34490915373405;303.1946247233375
5;142.31748436468476;223.02107915345115;293.4596274676667
6;132.25403495819262;221.9637685211977;265.2961132713315
7;150.69977905943344;220.59027913290322;248.1414357013251
8;166.62682764243718;216.29523646728757;243.49071523189443
9;142.98388248625912;210.21403709751092;241.15999841828585
10;124.20333219494518;208.22333248353374;236.35257433299228
11;126.2874663861499;204.93723032419712;268.0097286447485
12;135.39181832152866;201.4261523359077;260.70084314665024
13;127.07478440341599;196.09107730494148;261.72724407844566
14;115.2296007800758;194.14740177683527;251.5369852255399
15;116.06447424488226;190.24773293990512;242.04944830139843
16;111.42928780243152;185.78563112220215;237.19521269581523
17;111.06529555884295;180.02972061938993;209.23817075303413
18;100.53771339591862;176.3545280249584;207.0535445103691
19;101.31453646170478;172.12186046400174;194.7115115918611
20;100.9108463110071;168.45594903503766;188.45135276087782
