N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;160.74624365889994;263.24858065842204;346.9745210793588
2;166.5477666557461;296.7686684640046;395.4734605778013
3;170.22553070581063;292.3500818463502;395.17526664534574
4;175.52439446991698;292.4957862246632;391.7537153060189
5;177.66259317053294;282.52555143949377;376.44112182228804
6;165.40529865527566;280.4141155408706;349.32194928263516
7;187.96666045558817;278.68567391719364;328.32855406437216
8;236.60797470291325;274.4271289559541;310.3778482212376
9;163.46337563046333;264.8717626284284;305.161396835404
10;158.15422454853132;261.1349963533197;299.0119285795637
11;150.73032216057936;256.3722621391752;340.5162355845756
12;161.43650997598755;251.68362754004778;330.7591477345687
13;150.29577884035098;243.48342638945215;332.01923402323075
14;142.2327714807683;241.69754414288354;317.8421967195328
15;135.36176402252661;235.15315630219794;302.805838050379
16;137.99838995793039;229.2144671187324;297.64768815433314
17;137.0531828924479;222.084128929874;261.2773497522361
18;122.7684695689827;216.8281672152343;256.3158624175479
19;122.42072186948195;210.12089803167137;239.1837551114974
20;123.41557313712467;205.30121818777823;231.04551993688003
