N;min(speedup_output);gmean(speedup_output);max(speedup_output)
1;132.89294377803844;229.06873447112537;292.6425587986984
2;131.62948072714335;255.99540491628696;323.3505961704895
3;133.1435768318794;255.85180836647424;326.5663379573791
4;164.81202732652125;255.12224013932274;322.02339805800995
5;132.42585329006403;249.230753400842;306.19330256561125
6;160.13419482835877;244.46900868241534;311.1724824140393
7;173.10656302567483;242.98758113861572;294.64379093435844
8;135.11850811804194;237.45949348022572;293.8305030378257
9;133.9208707238766;233.17127696100115;292.9975039232083
10;146.0848237495718;230.41371767816068;292.2576375847896
11;134.74077871793054;227.6549025022587;276.04438084696505
12;135.26677119017987;223.35494392502224;272.9707074507245
13;13.114921376745015;212.5282534388871;259.16354488259014
14;128.3336285445126;213.41358414848213;263.7980284884197
15;113.20631144939736;208.47768854311406;260.7147624681975
16;129.8005037395877;205.08835961774764;258.76669036744653
17;139.7711553270977;201.67921167973043;249.60463282715696
18;136.85097843955037;198.407032284733;243.67820970023695
19;121.71903643335962;194.5416303648909;237.0112428289726
20;143.22471018764358;187.9215215937369;225.16507767695407
