N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;176.01703251848463;295.3769922827261;385.2983970577511
2;173.4421291370669;336.9263848870942;430.2935704154622
3;177.03421186387422;337.07177990140957;440.9243183311888
4;191.36358207699993;335.95138199487644;440.05681003738874
5;171.19087547860687;329.9823319885599;412.73059684561747
6;184.21278268969468;319.069775504301;415.0407679575846
7;227.07422250450284;318.79620073218695;389.98980853405317
8;183.31187483125393;310.7401132667526;389.1942479670885
9;173.19414714487888;304.706927728331;385.13784351714986
10;192.09183387354446;299.06789140664716;386.2269134749466
11;172.3831653238336;295.8153258274631;361.94188744948207
12;174.57254498799247;289.94828706192277;357.15235606434203
13;12.474757595603895;274.4633485028849;335.3861089501003
14;168.15888881558075;275.0624909083179;345.22071931160065
15;140.72248324165304;267.33306128719687;339.1257720043663
16;158.19236285695015;263.00902132278077;334.6908450574608
17;165.8305205340763;256.53217993031086;325.1671781254468
18;184.44014272483977;251.97672221329285;312.5943628267485
19;153.12264413845026;246.3465441094419;304.84409887624304
20;182.22091219015925;235.95878113717112;286.35681190754076
