N;gmean(error_output);max(error_output);gmean(relative_error_output);max(relative_error_output)
1;2.1274382136386504e-08;1.1473312674925573e-07;3.091887798215319e-05;0.00016635796276196188
2;2.7530671236567056e-09;2.6985725293249274e-08;4.001138361025858e-06;3.9128108948429904e-05
3;4.510935677205825e-12;8.808642704138947e-11;6.555916354925383e-09;1.277214259279376e-07
4;9.404384383249993e-14;2.3586965713917607e-12;1.366775360989926e-10;3.4200057778247825e-09
5;1.6985569248054585e-13;2.4205637494389975e-13;2.468578122133985e-10;3.5208786556418787e-10
6;3.725870349688633e-11;3.8894415466117493e-11;5.41495071306034e-08;5.662554563859756e-08
7;3.3765004497107874e-08;3.443137311376354e-08;4.907197997197653e-05;5.012789795880741e-05
8;8.081929693754377e-08;8.425252998045529e-08;0.00011745779334956352;0.00012216244464182687
9;2.49635493604939e-07;2.5392624206088676e-07;0.00036280486630840906;0.00036818182784619305
10;9.008250975573064e-07;9.644197625779949e-07;0.0013092037689310069;0.0014040780566094214
11;1.2088285013772286e-06;1.653573701965172e-06;0.0017568369645624977;0.002397608782482397
12;1.2201716978753337e-06;3.236051591581912e-06;0.00177332246840482;0.004692131779383093
13;2.1180076302660952e-06;2.45256832206997e-06;0.0030781819686064005;0.0035706416406780564
14;5.79083978339749e-06;5.886781230729499e-06;0.008416050230236052;0.008570438589969316
15;6.358419898472751e-06;6.396259904922763e-06;0.009240936246224947;0.009274294157470728
16;8.41228089310668e-06;8.716040016870652e-06;0.012225891441552506;0.012637872789148435
17;1.260283001905032e-05;1.3546434616318326e-05;0.018316177696290126;0.019641731462473666
18;3.683033998490067e-06;3.6980565189526082e-06;0.00535269499595341;0.0053839212051016655
19;1.501056146243137e-06;1.5063923861913242e-06;0.0021815426428142427;0.0021842023797938974
20;2.350700262683993e-05;2.5213036815657786e-05;0.034163631229615084;0.036707119769839446
