N;gmean(error_p);max(error_p);gmean(relative_error_p);max(relative_error_p)
1;0.00010337732302230083;0.0005918464728128885;0.0013873831599204843;0.007941072206787064
2;1.7972553502259257e-06;1.766777911224405e-05;2.4120200969438434e-05;0.0002370565950948064
3;8.633989327498279e-09;1.6486806973443848e-07;1.1587310491025439e-07;2.2121095697881975e-06
4;1.642970119361984e-10;3.871160188814449e-09;2.2049604393060555e-09;5.194110972278069e-08
5;1.1754510539287588e-08;1.1836231213096165e-08;1.577522951701643e-07;1.5882569215787158e-07
6;1.5588822356576815e-07;1.5837896475779296e-07;2.0921096608238824e-06;2.1258983613205775e-06
7;3.98574066080074e-06;4.096921394033548e-06;5.349093312672072e-05;5.499239429525683e-05
8;9.34564495612141e-06;9.586376290473925e-06;0.00012542393294438087;0.0001286247529064047
9;2.6917328955145367e-05;2.706581874551733e-05;0.0003612460432386373;0.0003631543497631257
10;9.678429826241565e-05;0.0001045252393316453;0.001298900973911179;0.0014030274497096825
11;0.0001270810281330852;0.00017124015358117015;0.0017055005219973624;0.0022976067050403583
12;0.00012816357848858065;0.0003286273124742499;0.0017200289706848612;0.004409341505538434
13;0.00021961296736630956;0.000254513546162057;0.002947332390861559;0.0034162992007635475
14;0.0006694917115772296;0.0006870579749796824;0.008984964005580022;0.009222281667109283
15;0.0007456992992757355;0.0007481024928342158;0.010007713683555942;0.010041673564720306
16;0.0010211400674142107;0.0010516990527130077;0.013704287284987331;0.014111122564793762
17;0.0011838354439335883;0.0012529638574479368;0.015887752855393105;0.016811583614242745
18;0.000414575404748628;0.0004196529212865923;0.0055638404850296514;0.005632941590765528
19;0.00016276264246788973;0.00016348552411682156;0.002184368318140682;0.0021944429826972053
20;0.0020822759062260193;0.00221732383214849;0.027945340836335493;0.029762823039601906
