N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;0.00017346681065469425;0.0009884848066862677;0.0006227318603887064;0.0035440179310798786
2;7.057602598130251e-07;6.967394683335021e-06;2.5336224141265683e-06;2.4980223796689098e-05
3;2.511119862421594e-09;4.762561665236448e-08;9.014717787702143e-09;1.7075228496484792e-07
4;6.77802803193821e-11;1.5828652860742075e-09;2.4332573995943245e-10;5.675052280405277e-09
5;4.134760711560419e-09;4.189269193378433e-09;1.4843457491690972e-08;1.5046185382902932e-08
6;1.548462405154865e-07;1.570360839788071e-07;5.558855153125303e-07;5.630220046711311e-07
7;5.4843389534065855e-05;5.6276031694220085e-05;0.00019688334538274467;0.0002022219333462197
8;0.00013531644102957328;0.00013967007683021815;0.0004857751102097908;0.0005007596003230244
9;0.00039859626815488575;0.0004022639672627773;0.0014309284564307577;0.0014422383666025215
10;0.001459081916397078;0.0015736974274529459;0.005237986406899357;0.005654914298340477
11;0.0019243263958727316;0.002596125188846647;0.006908176566884334;0.009307896447538258
12;0.0019408776145812177;0.004985776898298153;0.0069675941072145885;0.01787552282889119
13;0.0033337464270395824;0.003866193768031426;0.011967880810970475;0.013892756026411861
14;0.010194995786576098;0.010463066784670422;0.03659921266130545;0.03759791744775743
15;0.011354030385794703;0.011389547788846842;0.04076005339794081;0.04092712837881789
16;0.01556145234559375;0.016030235783927652;0.05586435891077792;0.05747325874246759
17;0.017872185111221666;0.018922205825923678;0.06415970318193683;0.06784184874572567
18;0.0062936277252225335;0.006368925537415674;0.022593615961058258;0.022886056403415313
19;0.002467150866332544;0.0024768961217507277;0.008856872637782;0.00890046272558393
20;0.030864072527940406;0.03285768393516426;0.11079953122995967;0.11807059187740093
