N;gmean(error_y);max(error_y);gmean(relative_error_y);max(relative_error_y)
1;0.00867370389113066;0.04964908099086706;0.0010866529358061533;0.006242894040178324
2;3.647035914004345e-05;0.00035615630510446795;4.569054158046304e-06;4.4783227204499885e-05
3;1.8925362127554359e-07;3.5977102426273333e-06;2.3709940499733397e-08;4.5237743345376776e-07
4;5.971472304725943e-09;1.3446121826404322e-07;7.481138383857949e-10;1.6907203947845977e-08
5;2.83055231862767e-07;2.8866681718074614e-07;3.546152861103401e-08;3.6093824452232163e-08
6;3.390990892040308e-06;3.513581835192118e-06;4.2482776151667554e-07;4.3897890749651863e-07
7;0.00036707882002167585;0.0003768755959655556;4.5988113319927376e-05;4.7085978109860325e-05
8;0.0008950976664377801;0.0009228002468105075;0.00011213900304602852;0.00011603324867479678
9;0.002616235484149555;0.002639299795130303;0.00032776539357291253;0.000331866544806615
10;0.009726147341179697;0.010502667969309805;0.0012185044238348325;0.0013121794018821264
11;0.012648375083879839;0.01703935872916208;0.0015846049266369094;0.0021425353488076465
12;0.012690220343923945;0.03260590107883193;0.0015898473553902167;0.004099878214404971
13;0.02176711940754941;0.025247744612590273;0.0027270131082574103;0.0031543956755969438
14;0.06667152310830154;0.06843017096900735;0.00835269536862868;0.008549509617479085
15;0.07399097050834398;0.07423174522444458;0.009269685284997378;0.00927434508392625
16;0.10130515285708241;0.10433578996655306;0.012691641673058035;0.013119221310044157
17;0.11752087024960015;0.12436552963784048;0.014723167896682139;0.015637768278581307
18;0.041078960786951266;0.04158519628480045;0.005146425782952056;0.005195559656612303
19;0.01597092277345096;0.016040047797278405;0.0020008580344839893;0.0020040070186258256
20;0.2063456833872907;0.21972585658591817;0.02585125633271959;0.027452047795422718
