N;gmean(error_output);max(error_output);gmean(relative_error_output);max(relative_error_output)
1;0.0002352449763758282;0.0002355122483719274;0.34189057401759115;0.3421880112488611
2;0.0003895637616065081;0.0004008814054116683;0.5661680012214967;0.5812603195168292
3;0.001271932823954382;0.001875738007684341;1.8485489041808132;2.7197372064609264
4;0.00027421050975040876;0.0002746721170992228;0.39852068267102203;0.3995755291326428
5;1.464575175320656;337.6971214079897;2128.523444353318;490894.1981474588
6;0.0001007682218179166;0.0001267857175606124;0.1464503333113446;0.18383368673279704
7;8.586368970003173e-05;8.890712635623021e-05;0.1247890034085698;0.12891140366083267
8;0.0011247959337566955;0.0032555648622522027;1.6347092013151372;4.720425159399021
9;0.0001687013974968653;0.00017283203117038348;0.24518023090800214;0.25059880629204073
10;0.00014269031993154128;0.00014959418769205923;0.20737733123877683;0.21690496032474738
11;0.00037445685444550074;0.0008443338368674114;0.544212551883204;1.2292475318313443
12;0.027499447310878746;8.605711025437364;39.96600467787451;12506.996218113873
13;1.2240708172614945e-05;3.459591681398422e-05;0.017789892086074604;0.05036745360438605
14;0.00013457153811811162;0.00017336530652528603;0.19557799330059905;0.25137203198671415
15;0.00020108873749590978;0.0002079169788807289;0.29224999806632823;0.30147042977231764
16;7.959307942096835e-06;3.161348698066391e-05;0.011567568426025982;0.04583815885536449
17;0.0019312411547922788;0.003331355647374634;2.806747064912759;4.830318447992579
18;3.96096965826825e-05;4.7995912280135444e-05;0.05756629582465936;0.06987621972754716
19;0.00023764695517802703;0.00029702517304891485;0.34538146221470944;0.43243258166318416
20;0.00013887021009835663;0.00015559117605090655;0.20182541865896825;0.22560032838758554
