N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;233.39651252827522;266.23769604181;317.46064496538565
2;179.4471057664728;296.22370057968726;338.804441685376
3;191.95744755371427;297.0978917865931;351.57087188303774
4;192.9589033411195;293.4064718526448;343.4558194315947
5;160.4982440766095;284.4486028239021;343.61942021694443
6;219.72837778839292;282.7590819737164;333.24794307060995
7;187.8038561400557;275.5340721948538;320.1853434868729
8;184.15270311940085;272.58227688359295;316.5248055567223
9;150.57381172613253;267.5711796224993;312.9223372145162
10;160.60841059741708;262.7624171807617;310.1074565532101
11;187.89412334860737;259.60072895608124;312.95079056952227
12;165.64272617955749;251.68022213940245;284.4091453075102
13;163.0559960028597;243.61651828532686;286.7153208835238
14;188.9441684406495;242.5428002813088;275.854795847173
15;166.31322481393624;238.9014680376234;312.95062646336953
16;160.32145327468984;234.22525845547327;306.76507174860905
17;164.06058652829552;226.7831853106963;300.91856921666255
18;142.65031319178962;219.5081044307807;291.38516733087874
19;158.81582778501354;212.92225708377043;282.75473488957823
20;140.45207158646667;205.49833558198185;271.02696946073
