N;min(speedup_output);gmean(speedup_output);max(speedup_output)
1;132.86002963720003;225.10295702212053;270.52381995461724
2;136.9321117208491;255.5092695791486;308.04368838753953
3;131.18056375912445;256.22958410529105;303.59959026351487
4;135.96037983572288;253.99556190421734;304.99608963283805
5;145.5148683431656;248.46341578622187;292.496047803753
6;141.80030974593043;240.66690529129156;293.9322113244755
7;155.64658420606324;239.77391765855478;289.73402226931825
8;11.76250356693457;230.83048743295407;277.82223582465116
9;157.8039165418313;235.63686083382302;277.8631483451278
10;158.29475611234918;232.3378272779919;272.3115834408876
11;182.51921157283843;230.0520425281384;268.62936771739874
12;121.13041539202511;221.90309032191163;264.4165257381856
13;106.59982565547836;216.01024647724648;261.4929622799735
14;133.45813018502946;212.3167738274382;258.2669443636788
15;127.69867315737366;209.9234325929928;252.2708221376319
16;131.84764746310086;207.94620499168494;247.6597899088593
17;136.87093602972342;204.1788422965098;243.6037625704577
18;115.46046579092254;196.8174464003498;234.76021029413158
19;125.22609493845955;191.55902332233535;229.63109800776795
20;108.1174320343806;185.2665102569566;222.56254448140234
