N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;167.37279465614643;288.19708405781654;349.7822412702258
2;177.90617506010167;334.4060794066621;406.1468305253213
3;165.7080035446743;336.5641914585033;400.6109664700753
4;176.45366467622236;333.8301593924064;402.4466314982599
5;187.11641402102404;326.71007349275055;390.5794283017315
6;192.25333961573745;315.2038036352836;387.0879783062924
7;202.81165737371592;313.17217096793803;380.22657463397
8;11.145418786513462;299.46380935311646;364.43039172553375
9;182.26225104095138;305.646177085115;362.064856156849
10;210.2124798577309;301.21392226239567;354.1610252182777
11;238.27681925125523;298.4749016859018;348.58557460821464
12;171.03200261832987;287.7998551945037;343.73166205610977
13;138.20652943984084;278.326808018348;338.9302660454063
14;169.2133872632259;271.74635206815907;333.66131359841694
15;162.96085968767593;267.72437409302125;324.1868437836603
16;162.51951616261252;265.3584086016986;316.89726642472067
17;163.85142109945957;260.5124925737616;312.60975648418884
18;134.22845387583592;248.77470151892223;297.68277666440645
19;147.47998162251474;242.2583358350379;291.3653812801802
20;135.8510579089035;231.39353415884673;282.19753580197505
