N;gmean(error_output);max(error_output);gmean(relative_error_output);max(relative_error_output)
1;0.00018268157640033167;0.0007728269925543381;0.23388604014707828;4.161497100490006
2;0.00010222810059273107;0.00036082298413142935;0.13088197567878884;10.329265440711232
3;5.894366378185945e-05;0.0003053512860330329;0.07546519132005253;6.03933539018563
4;2.0252942892089464e-05;0.00020595344565170828;0.025929711729524456;3.1505846679229954
5;2.055450039794584e-05;0.00016359453764632978;0.02631579385291738;0.43829108010846335
6;1.2617183246814435e-05;8.24042916416981e-05;0.016153698066085468;0.3912879245044253
7;7.731999094425041e-06;9.515981134965157e-05;0.009899228407427872;0.46092771789654585
8;6.06936438912794e-06;6.103147230520495e-05;0.007770567953015781;0.27827602050038713
9;4.07314975077511e-06;8.436268568717473e-05;0.005214827268882276;0.46086406370797445
10;5.328892929998829e-06;6.198768061064369e-05;0.006822547135426001;0.4235045788253983
11;3.16919041691778e-06;4.611898165017905e-05;0.004057493983195243;0.345439121204294
12;1.781065803490118e-06;3.93291177630227e-05;0.0022802870230701636;0.40806328372821177
13;1.235067514534006e-06;1.3600902642654095e-05;0.0015812489468320973;0.2098593607312768
14;8.83179203960194e-07;1.550670164620488e-05;0.0011307286198463265;0.11412581703453968
15;7.931474209348563e-07;1.1476400784325713e-05;0.0010154615106276474;0.14274383549764372
16;6.629686675979262e-07;1.0963565054544072e-05;0.0008487944951069613;0.1069895056866429
17;6.271659092643055e-07;8.827494136515873e-06;0.0008029564552892903;0.05093034748686484
18;5.810389309468521e-07;8.77789351681757e-06;0.0007439003834335409;0.03775977592390814
19;6.145338913708592e-07;6.887349236789353e-06;0.0007867837645211181;0.01712738694738992
20;6.22668654830316e-07;2.076265631269225e-05;0.0007971986495388364;0.056715238821205896
21;5.102843443816145e-07;1.2364239179680353e-05;0.000653313744101493;0.026778436225871772
22;5.041665007111188e-07;6.596064059602447e-06;0.0006454811084382482;0.014285737941086592
23;5.123151976992206e-07;4.00940034230024e-06;0.0006559138324625309;0.013055838674471474
24;4.321637626425629e-07;4.477353845906695e-06;0.0005532964688131913;0.017591973171705376
25;3.94936077251297e-07;6.573363226791695e-06;0.000505634104104209;0.014268906804012224
26;2.5257552874300225e-07;5.391890969218965e-06;0.0003233708150530715;0.011748003694305025
27;2.451400733367282e-07;5.963065599100259e-06;0.00031385124961067276;0.015293626648181848
28;2.0461086922833897e-07;5.687325532133247e-06;0.0002619619718520283;0.015927249496527074
29;2.2398971258324513e-07;5.532409932972049e-06;0.00028677257960032615;0.016649328028469686
30;1.4470373767101023e-07;6.0980920023982754e-06;0.00018526325897356662;0.019121344358846087
31;8.523626793544741e-08;4.717149412102051e-06;0.0001091274422804957;0.010643043049093028
32;7.702792696253849e-08;4.195137380574171e-06;9.8618356448416e-05;0.01014167149860197
33;6.41249886592516e-08;4.1286400928736144e-06;8.209880803262761e-05;0.011244156538875678
34;4.8099213996097674e-08;3.976017201947485e-06;6.158111243293267e-05;0.010759293260697234
35;3.718036633753884e-08;4.0744403409891106e-06;4.7601782430693566e-05;0.010475113684348275
36;3.260899830059683e-08;4.28138740438469e-06;4.174908951396341e-05;0.00951056278432553
37;3.1760789858882155e-08;4.030172636761142e-06;4.0663133734726865e-05;0.008926846732230074
38;2.9380868745600783e-08;4.6927622955952875e-06;3.761613613367708e-05;0.010186655679746076
39;2.460398067179823e-08;4.289241722826853e-06;3.150031724365877e-05;0.009310726988803393
40;1.690374477050823e-08;3.897478854424097e-06;2.1641755046864473e-05;0.009738510018956764
41;1.4872329156352154e-08;3.562131740120905e-06;1.904094678119297e-05;0.009499170985302072
42;1.2165231156629393e-08;4.060251439667872e-06;1.5575066729568342e-05;0.011767923831719967
43;1.1476426560489106e-08;3.943903383828856e-06;1.4693194662330852e-05;0.011169872781530869
44;1.1433054083336545e-08;3.9970238071007635e-06;1.4637665160492382e-05;0.011465331023464479
45;6.0379998117834426e-09;3.873656758461574e-06;7.730412087599345e-06;0.0117287889381376
46;5.26060547398368e-09;4.246637590632485e-06;6.735119147372597e-06;0.012679103690936536
47;4.672405162571612e-09;4.578366891154484e-06;5.982050094870164e-06;0.013101028638150738
48;4.8936725120254e-09;4.671315927500669e-06;6.265337250572069e-06;0.010366122308032561
49;5.505441451047521e-09;4.9631907184030655e-06;7.048581064492888e-06;0.011737801776398738
50;5.370105618008796e-09;4.350625579914447e-06;6.87531147320104e-06;0.009443973928890891
