N;gmean(error_p);max(error_p);gmean(relative_error_p);max(relative_error_p)
1;0.05681854729166489;0.07743448316339933;0.6607470944501703;0.8486201834019991
2;0.04571656275567925;0.08015263984166754;0.5316412940655251;0.8697794002246434
3;0.03753161157406255;0.0690568239366095;0.43645789059503426;0.7526120869605439
4;0.03273606375161879;0.06401807703803157;0.38069010980840023;0.6946945822329348
5;0.027954869983929237;0.06323259745254987;0.3250892533875675;0.6861709208276642
6;0.023705477175449276;0.07052265212566235;0.2756727497066915;0.772872027241251
7;0.021618254695976117;0.06931578871648959;0.25140028491269484;0.7596457667201834
8;0.019421834676099908;0.07007919523490462;0.22585795383415466;0.7680120933643555
9;0.01613449010542549;0.05662717623020662;0.1876291803602455;0.620588692722485
10;0.01469354450658497;0.056421965222585344;0.17087231727454835;0.6183397437296158
11;0.012893787506852218;0.049593903737218385;0.14994280983421596;0.5435096350587146
12;0.010553596649259091;0.035808715742264685;0.12272855703616281;0.3852896562738304
13;0.009421767956453182;0.03209556622626621;0.1095664373440151;0.3453374247833326
14;0.0080606969605125;0.03132540478713454;0.0937384419309727;0.3370507484809997
15;0.006469071756934696;0.030580108755474004;0.07522931456241769;0.3290316155434336
16;0.005232234091028209;0.02990736249321683;0.0608460377450934;0.32179309355872476
17;0.004366103123019917;0.02594729318975305;0.05077373657225546;0.281643483763687
18;0.00351466877330083;0.02466070086848485;0.04087234346193757;0.26767823733525853
19;0.0031478311357691006;0.023900786775584514;0.03660636140699661;0.2594297911131264
20;0.0025451426816626597;0.024807549619095613;0.029597652738939703;0.2692721991179347
21;0.002095238317567843;0.020759263155977186;0.024365681568854675;0.22533029371732363
22;0.0015955596783200914;0.017892902629487402;0.018554881666721316;0.19421753916140297
23;0.0012487364200227432;0.015623375044640465;0.014521648310166755;0.16958307533430494
24;0.0010649947016772915;0.013661303677834047;0.012384902259571251;0.1482858783165224
25;0.0008817319720755414;0.008172430227869596;0.010253726404550285;0.08870719975915768
26;0.0007055886811189509;0.007221013106652473;0.008205343028801222;0.07838009432382734
27;0.0006086773770554048;0.006837264157325796;0.007078354296571542;0.07421471220906778
28;0.0005530901996744862;0.007012548038201574;0.006431926894009001;0.07611732156783392
29;0.00047777429322203745;0.00694775265775292;0.005556072639959162;0.07541400363220589
30;0.00042062525057275866;0.006998590365635783;0.004891482190518728;0.0759658187695299
31;0.0003731580604729671;0.007427371348162682;0.004339482721416632;0.08061999864129332
32;0.0003312737023125689;0.007551965809247414;0.0038524064184036373;0.08197240244776902
33;0.0002935887388294258;0.007507736104593252;0.0034141651871006295;0.08149231352236401
34;0.0002558777862284796;0.007464383008030344;0.002975621726421926;0.08102173969184427
35;0.000228498907041428;0.00745785271986141;0.002657230712669267;0.0809508570338179
36;0.00020223405274084257;0.0074116729002663365;0.002351794776826272;0.08044960069177019
37;0.00018320180999456884;0.0069123858338366925;0.002130467416397345;0.07503011636409744
38;0.00016142282865577577;0.006495183986606486;0.0018771980294518761;0.07050162158711762
39;0.00014486623295873044;0.006451215610873436;0.0016846601519054367;0.0700243692422843
40;0.00012849760760963027;0.006154162873599286;0.0014943081954563913;0.06680002644954666
41;0.00011241257831283799;0.0060794572533502496;0.0013072541985028221;0.06598913835459984
42;9.904949290068059e-05;0.006124172393248747;0.0011518538885714922;0.06647449641048239
43;8.833098299048693e-05;0.006161114806222971;0.0010272075430104062;0.06687548582439191
44;7.83983007842638e-05;0.006178885660185974;0.000911699646017385;0.06706837859293598
45;6.923713266282284e-05;0.006136489509414147;0.0008051637434548137;0.06660819187849813
46;6.084160877938898e-05;0.006103804895673212;0.0007075315744398234;0.06625341851496659
47;5.236491383695405e-05;0.006003014152022347;0.0006089554611681658;0.06515939086570981
48;4.607684897477448e-05;0.006451653704655246;0.000535831089190269;0.07002912450742978
49;3.8889424668091585e-05;0.006441194803553869;0.0004522479996254645;0.06991559893383757
50;3.5976284799615636e-05;0.006206910767850528;0.00041837088034711324;0.06737257560099284
