N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;0.2560967561075908;0.603640772790667;0.5473844559524308;1.180576427242798
2;0.1462069996458349;0.30626623043654483;0.3125046961701847;0.5985354448139926
3;0.10871819695824456;0.2835355369874077;0.23237565363427104;0.5541128987986602
4;0.08556852842236733;0.1974578123716615;0.18289525837433798;0.3904504120129952
5;0.06869688573546151;0.18208240053763566;0.14683359522185416;0.35928132503905386
6;0.05916602428190053;0.19082423121994116;0.12646221102000324;0.37733325821339925
7;0.04737298599439293;0.12196306594355724;0.10125562134995851;0.2578288354644064
8;0.039906232832203424;0.11759582534622222;0.08529608840023585;0.2559886822301649
9;0.03333420414670022;0.0891154493955644;0.07124895089956952;0.1869244062078181
10;0.027041518180601996;0.07886571774202847;0.057798884071760606;0.17167897838617086
11;0.02240535581484207;0.07005582187940723;0.047889491805884025;0.1525011408582008
12;0.018117983637141587;0.0581065330426155;0.038725608113541546;0.11489907385600111
13;0.014143934419117283;0.05784497332643035;0.03023142489076572;0.11438186920492217
14;0.011705326129628874;0.06011167486304678;0.02501911259087112;0.11886401421732884
15;0.009192020009520002;0.05887681566184;0.01964714020001532;0.11642222030652775
16;0.007668769920527146;0.057735752104847674;0.016391326132255093;0.11416589663612225
17;0.006356407641358147;0.053988122043127515;0.013586266345033064;0.10675538355438752
18;0.005344979021196033;0.048860575570811256;0.011424425978927231;0.09661624239463773
19;0.004212087160626923;0.04540883449114146;0.009002968541606008;0.08979081619077346
20;0.003453155803544442;0.04397305079683639;0.007380819029382973;0.08695171690029933
21;0.0028460784880225457;0.038123740408244115;0.006083244272370392;0.07538536951811027
22;0.0020946305129533683;0.03402779274420842;0.004477089835814432;0.06728609791270924
23;0.0017054632670477458;0.02767118623598624;0.0036452788265212777;0.05471663003332117
24;0.0014462907177903714;0.0199989125059532;0.0030913201312637293;0.03954557955429842
25;0.001169363543965709;0.014305160244868853;0.0024994124761789785;0.028286830713022574
26;0.0009418820481910232;0.01306325831489419;0.002013190640742843;0.025831110605450205
27;0.0007980277120306747;0.012664963066109583;0.0017057145573579787;0.025043526958478293
28;0.0007166235149520918;0.012525357177989844;0.0015317201936363848;0.024767472160336437
29;0.0006294902894564745;0.012315495002476001;0.0013454805318842437;0.02435249352813579
30;0.0005798300693885873;0.012441819105793015;0.0012393361474043448;0.024602285104345815
31;0.0004910155361149935;0.01248405581557063;0.0010495028370745162;0.02468580340395962
32;0.0004495902668833582;0.01252156887731411;0.0009609599410000528;0.024759981225731705
33;0.0003854693197280831;0.012544193195036872;0.0008239070149606497;0.02480471824611223
34;0.0003545411285642378;0.012517583443504114;0.0007578007067389953;0.02475210048272907
35;0.0002970060230972708;0.012557959743816034;0.0006348244422877173;0.024831940033785558
36;0.00026824146492652193;0.012547235253903955;0.0005733427106784646;0.024810733572240656
37;0.00024311576660819334;0.0121621636192839;0.0005196387242889389;0.024049298121366105
38;0.00022004399888536823;0.011999973539026756;0.00047032483521525795;0.02372858564663441
39;0.0001932058015417565;0.011895456643407132;0.00041296053168028696;0.023521915348473754
40;0.00017968465422618955;0.011772703002341262;0.00038406025984679765;0.023279183956109038
41;0.0001500734522702491;0.011462792281184957;0.00032076890106855395;0.022666370680658764
42;0.0001342380298700166;0.01147738703272828;0.00028692206830474256;0.02269523014529515
43;0.0001205745704815964;0.011396849946782498;0.0002577176168410294;0.022535977198996585
44;0.00010594019271464663;0.011412955280831772;0.00022643791211568437;0.02256782366908362
45;9.827258763254885e-05;0.011349930616918446;0.0002100490757238677;0.022443199549650853
46;8.141689169324621e-05;0.011318364736475713;0.0001740214973520497;0.022380781603881152
47;7.21397926012083e-05;0.011286133632267808;0.00015419250804154616;0.022317048253620374
48;6.24527330593387e-05;0.01165608452621439;0.0001334872640638466;0.02304858415605474
49;5.80295203727311e-05;0.011381805867556;0.00012403303314417285;0.022506229239866525
50;5.053910913050791e-05;0.01095802970559796;0.00010802293311400386;0.021668259979241065
