N;gmean(error_y);max(error_y);gmean(relative_error_y);max(relative_error_y)
1;3.0975799900959284;6.849507605926284;0.39285800244006125;0.8950584230110514
2;2.159310648425394;6.343719430679508;0.2738597455756688;0.768519304032239
3;1.785884512251543;7.286604543140378;0.226499081319949;0.8827465201519104
4;1.4130573865618299;6.282573078655592;0.17921438800379844;0.7611116384797135
5;1.2040662770412016;6.3110358778130875;0.15270858990446887;0.7645598065203019
6;1.000006416031004;4.275512259785824;0.12682820921019017;0.5888152138024321
7;0.9102694833792113;3.9624645877462106;0.11544710776344763;0.4881418472881003
8;0.7494271645409062;3.222548434689176;0.09504789538195006;0.44380308844097477
9;0.636180211612437;2.908000146131721;0.08068507929579487;0.40083217664254506
10;0.5452368442710537;2.4119546884680245;0.06915096887955281;0.3326346166690966
11;0.43782899225439925;2.2733183064300717;0.05552871075399784;0.31351516139239927
12;0.37645277608563316;1.9728079170661554;0.04774452511279216;0.2720715311911048
13;0.2749792245899636;1.7970278743760295;0.03487489886631937;0.24782956371225237
14;0.23102535412257974;1.7067122355599762;0.02930034395360154;0.23537406111079845
15;0.1828722715208369;1.6713757487266303;0.02319321390280792;0.23050077770773902
16;0.14165591091763968;1.6592766680962627;0.017965850236270335;0.22883218373838585
17;0.10923398873497622;1.6715871542184262;0.013853862289333142;0.23052993280964099
18;0.09066770899294421;1.581520287200816;0.011499149385866781;0.21810873852758
19;0.07198348398362026;1.4884996578541643;0.009129477791340402;0.20528018850009394
20;0.060668640012620866;1.158982533989582;0.007694445600216858;0.15983621614578009
21;0.0458725041169044;0.8903565593038225;0.0058178902213700204;0.12278979129203864
22;0.038880145358788656;0.6872820165866457;0.004931067571804631;0.0947836172975823
23;0.03240153586739731;0.5798295644498791;0.004109402403668513;0.07996476294780597
24;0.025731734618175052;0.5428031967617468;0.003263488882849147;0.07485842671293512
25;0.01988331369288668;0.5297094225085675;0.0025217488892142126;0.07305265374369896
26;0.016341118017252975;0.5272744356892964;0.0020725014373870858;0.07271684274729215
27;0.013015081926556538;0.5154494019951898;0.0016506689427259631;0.07108604281197635
28;0.011703847456745978;0.5156247207740116;0.0014843684900540757;0.07111022116618303
29;0.009950607247765362;0.5095123703977494;0.0012620096006952931;0.07026726199531795
30;0.008912937111914227;0.506248135600887;0.0011304045999961658;0.06981708874141576
31;0.00781435454522613;0.5061512272567936;0.0009910742343415258;0.06980372403351157
32;0.007269465758328183;0.5022758114286883;0.0009219674086720816;0.06926926231058676
33;0.006187829844198366;0.5013850397980287;0.0007847863428235429;0.06914641527646925
34;0.005501335225693138;0.49981556336734106;0.0006977200183463274;0.06892996751590846
35;0.004753451995202916;0.4997542802847836;0.0006028679360988224;0.0689215159165595
36;0.004200407335719796;0.49810947213547313;0.0005327267223515218;0.06869467909791777
37;0.003799632716501816;0.48769364850935343;0.00048189752122093844;0.0672582244598052
38;0.0035127918921961216;0.472744026088663;0.00044551824655642583;0.06519650997278365
39;0.0030833734305581013;0.4682202146848589;0.0003910562214951235;0.06457262749299153
40;0.0028297449002794984;0.45461345698993433;0.00035888917558003867;0.0626961085635106
41;0.0023904283657383996;0.44915846364732515;0.0003031718037121497;0.06194380603140798
42;0.002155285589456496;0.44926505244145265;0.00027334925782998305;0.061958505777985035
43;0.001876968781932517;0.4481925556956332;0.0002380510620129386;0.06181059688664881
44;0.0016433242166378117;0.44818852686330257;0.0002084185303281596;0.06181004126713227
45;0.0014892891874979614;0.4481793349508853;0.00018888266876940674;0.06180877360307623
46;0.001255554179991508;0.4431218881141483;0.00015923866653447016;0.06111129703027591
47;0.001124709636997379;0.43823647223305573;0.00014264399393353286;0.0604375453853358
48;0.0010044053911460202;0.4087871046783557;0.0001273861197668165;0.05637615935078848
49;0.0008771210014019208;0.40781139147283646;0.00011124297213009622;0.056241597955564666
50;0.0007797842214486595;0.40478030486811545;9.889800184404967e-05;0.05582357835690769
