N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;0.49662374855727087;0.8338712533216615;1.0614899015076629;1.6716818444607422
2;0.695414834739248;1.8384758901322777;1.4863884914460654;3.9644728572942864
3;0.5487103360228627;1.6302397849547448;1.1728204344500384;3.548790384701859
4;0.6587195654930713;0.8177983185601411;1.407955557356468;1.8219850146202048
5;0.5168129431108667;0.964735525854049;1.104642542114305;2.1000862508248628
6;1.006953373248057;1.718818380936264;2.1522749165682034;3.7975191855780617
7;0.6075603286629433;1.2024670341296477;1.2986071554288923;2.6175925087969287
8;0.8817980469507102;1.118412727678833;1.8847663341243064;2.439014764809727
9;0.8674212577604509;1.5401532005198666;1.8540372024911564;3.447725244286219
10;0.7885824956897007;1.2750393363315364;1.685526232106469;2.491806671727238
11;0.9714327439439732;1.7915225036493254;2.076352672795091;3.992198089050741
12;0.6616104935810229;1.707798743779779;1.4141346637327945;3.377090995909076
13;0.7886872331175634;1.6495199225626707;1.685750099213729;3.2618473917658286
14;0.5500099993000583;2.4343800921304886;1.1755983512293133;4.813871142426777
15;0.704672542095627;1.8871610399402285;1.5061760326147218;3.731771427414967
16;0.49018298855734316;1.9183961288224822;1.0477233393611298;3.7935373338514697
17;0.6208420604924082;1.6180294645216229;1.3269956975645973;3.199576504932814
18;0.4161556704797885;1.406699728542901;0.8894964104168367;2.781681977758005
19;0.4228350108032035;1.0662321489968698;0.9037729171739844;2.1084234913750657
20;0.5650453309195972;1.1032033623988693;1.2077350598066292;2.1815323119210923
21;0.6927659553410342;1.1793514064133923;1.4807267430103856;2.3320335468696842
22;0.6582799138693094;1.7473930486847413;1.407015840397381;3.481123365477331
23;0.5866459263971427;1.0558811930034342;1.2539044466564861;2.1186865327852344
24;0.7164804480581475;0.9828930068758632;1.5314144006419856;2.13961239578544
25;0.9086785037463155;1.0341077318827168;1.94222096354817;2.2982150231765845
26;0.7470926298285481;0.9182743221887436;1.5968452663764499;1.9989470967257084
27;0.8269610146220462;1.0285523449437048;1.7675569654329633;2.2939109061558876
28;0.6683668178721403;1.0446610124770808;1.42857571699931;2.0897529263949206
29;0.7951575478673025;1.182664361449479;1.6995798320575104;2.365816547917022
30;0.7452154361037643;0.9099580204618544;1.5928329286905856;2.029823172169279
31;0.7138470071583303;0.7983111854605267;1.5257856506486678;1.7587598607572397
32;0.7417593419602037;0.8373509258569102;1.5854458292159692;1.862645840675665
33;0.7525817312478748;0.8464268646540226;1.6085777413978186;1.8140177124615142
34;0.696204143321773;0.9860119971476975;1.4880755696253867;1.9777484746674376
35;0.7037457093599582;0.9476956173816325;1.504195008565515;1.9012775756841276
36;0.7234578849660736;0.8402767567086906;1.5463280628212241;1.8060412488517836
37;0.7210830836717149;0.8806960282145491;1.5412521324023263;1.9427279373572002
38;0.74386651382615;0.8840770049079268;1.5899497250988002;1.8272547707630973
39;0.7241750645274989;0.9061275939652063;1.5478609715156482;1.885956379404564
40;0.786636659672659;1.0084697057088092;1.681367177514175;2.0989647457870073
41;0.8365159519880256;1.0355305534007067;1.7879798097955018;2.157238316416684
42;0.8886622685711487;1.10718914164911;1.8994380085115532;2.4375580079273313
43;0.8098577012785595;1.0121663722027099;1.7310001264795825;2.063548367199308
44;0.8009338455405508;0.9786387181707344;1.7119261639960606;2.061282666909854
45;0.8290394754976599;1.0419687957262063;1.7719994940807615;2.202913074883843
46;0.8322204470809241;1.0717421928643764;1.7787985431041462;2.3235245032165612
47;0.8203594688690693;1.0186916616818287;1.7534467377777554;2.0568719080135165
48;0.8481790102130723;1.010018178768891;1.8129085784308079;2.189707564644382
49;0.8911275501431287;1.0535999847348203;1.9047073326238855;2.318320362372906
50;0.9846611037392643;1.2991831730691235;2.1046271368677494;2.8586967048376146
