N;gmean(error_y);max(error_y);gmean(relative_error_y);max(relative_error_y)
1;29.677355961195087;398.23401537124613;3.7639017613413377;59.53829656964574
2;12.605868955686987;15.837477004995309;1.598769527433254;1.9098570448689962
3;9.991353954509188;13.595442624127374;1.2671773993860695;1.6470400713143503
4;12.098939664487858;20.771859195638296;1.5344770057370896;2.2442456927299843
5;11.139984377599287;19.09456904410614;1.4128552043176175;2.313239901752736
6;15.582219153507955;41.83758285492513;1.9762522710642971;4.166376239468869
7;12.715699326715194;22.31774723091749;1.612699027335549;2.254570082132194
8;17.773339847644475;65.04062009578693;2.2541464018876596;6.356204891054015
9;16.09369057925293;36.52068699175659;2.041120859854836;3.652661247227922
10;14.595092483931904;57.36706826507708;1.8510575665514515;5.737637607042372
11;16.36230415114322;37.84680675133947;2.0751884195687142;4.332653511820944
12;14.05013705365492;30.18743284454826;1.7819422886758205;4.415210352606966
13;15.041281061422513;38.440995934624596;1.9076465017282662;3.7567115137710014
14;13.369218497099084;24.92705097215868;1.695583161612691;3.4377097067613325
15;13.86102065740869;28.529833353518452;1.7579571486970262;3.9345723311280305
16;13.561808304530812;24.935857167016742;1.7200088252855776;3.4389241761976495
17;14.84119344755476;23.51332059925516;1.8822699107932725;3.2427410106607817
18;11.821779868467969;19.254525579238784;1.4993255506756518;2.816164630817348
19;12.044027019277992;18.222834082210507;1.5275125779661127;2.509613186500493
20;12.554382185047961;21.612959002391246;1.5922395944113423;2.9764945818524433
21;12.007458713420437;26.14263249071023;1.522874714977021;2.962012692972749
22;15.118126858633255;33.58475064629573;1.9173926540422195;4.924101026321932
23;14.530529373962928;40.32020508335309;1.84286919546989;4.561014434157585
24;18.422874205573653;55.67307267000024;2.3365251527796893;6.2977280873656305
25;18.943067626974152;50.384724423197966;2.40249992956262;5.699511073423021
26;17.14707138515913;58.467671312622244;2.174718403918322;6.613852589220873
27;17.855159772103345;62.66591566009253;2.264523409805284;7.088757243781723
28;17.863561477077177;50.05886135940649;2.2655889761647234;5.66264950155256
29;19.357932755494353;46.88437884797688;2.4551161932890166;5.303552603962892
30;17.784689552031537;44.85217800367403;2.2555858553345582;5.073670405575975
31;18.213648890695417;42.415790066886125;2.3099896510248463;4.798066635110904
32;17.94249668301695;48.05781627628683;2.275600122745874;5.43629163733433
33;17.780158317979218;44.77591012939176;2.2550111707213856;5.288391628635237
34;20.697065128519544;37.30493832818275;2.6249548643650154;4.406010352249994
35;21.09859224119959;42.33725032940648;2.6758795022815063;5.000366482210221
36;20.37520083203915;41.93313251787997;2.5841336539438577;4.9526369498504454
37;20.148269529565514;43.26359066790082;2.555352547897862;5.109774654533331
38;18.792668764332685;37.599585769955205;2.383425233530396;4.440810562004868
39;18.801003535252594;36.0819003353249;2.3844823108181057;4.26155982373496
40;19.140673581335193;37.92919003892886;2.427561778085906;4.479739451485074
41;22.529211611754885;37.557592063053306;2.8573212309746854;4.435850770737788
42;23.242874966784072;36.22703667983736;2.9478332955437585;4.278701582040093
43;20.831609366267298;35.119594462101794;2.642018759615629;4.147903835293107
44;21.675506696147025;35.34567780956522;2.749048060018226;4.1746060793936595
45;21.08306793683112;25.89416988203657;2.673910595191788;3.427545893797092
46;20.765176011866217;26.53658884596309;2.633593190303831;3.5398380441312547
47;20.350292913311964;26.634988031907394;2.5809746474848225;3.923967149571745
48;21.706712036753746;26.442886889232366;2.7530057520924953;3.8794842696749776
49;24.724059467592895;30.422906683138716;3.135688068009192;4.45998061690714
50;23.83867953777529;30.809054760432435;3.0233976374986633;4.0943623522789885
