N;min(speedup_output);gmean(speedup_output);max(speedup_output)
1;112.17977819448072;128.66164776002955;132.60319581276337
2;101.94306589381443;139.4039805278743;143.24251713286512
3;124.48753492198496;138.48488566776916;141.07691722131892
4;126.58274494711652;135.8642115314538;140.24031896947074
5;124.8770284981277;132.88500253054733;136.433665979801
6;123.9335081373379;133.06217980432558;135.83499284780876
7;101.56937547635093;131.41089598446072;133.90794693406838
8;89.49539883516137;129.15736277048893;132.9180064873398
9;87.55243820243798;125.8420425645362;130.06283047211338
10;106.67142418168213;125.1297643887717;127.40196429612345
11;109.53155354709284;123.0710972854858;125.29700036131881
12;115.00626173334062;120.96929831366971;123.56863957763615
13;90.65622265880646;119.14102401237317;121.90010432071824
14;81.65345264741066;116.64408261814725;119.40148785833351
15;8.208823015197606;111.36471228738228;116.8433226871079
16;90.89447578132057;112.72701808447596;115.18032238709829
17;89.0730986641171;110.88264806412668;113.45878980267044
18;90.64617777202076;108.17304280579432;110.65280337753109
19;96.81788990421403;106.02059285302651;107.74476826211989
20;95.94616498589757;102.74488656793704;105.29805896591509
21;80.69984619356434;99.55750977644418;101.36909846450746
22;74.06075578355028;96.76246764415009;99.34133305058349
23;89.53514712931955;95.6775598944678;98.30882211547112
24;89.8322690822745;92.90637852157174;94.78828142214721
25;84.92250055449136;90.0847045819006;91.63902485516972
26;77.19403068220672;87.14202449544445;88.7802526245185
27;64.01954604541898;84.23881986326165;86.8696271124952
28;77.88602924364619;81.62278278574007;83.98467259675077
29;78.32141857861942;80.99024959473373;82.88525029746334
30;62.26000092363402;78.38986219397383;80.26569712449947
31;53.68114315199699;76.29174195339375;77.79053485944316
32;50.30123294202572;73.25590144819625;74.92924916451788
33;68.86025424835496;71.23079237531935;72.79014770991253
34;65.0040090664822;68.80074626431332;69.99884515663507
35;57.49262587442374;66.65101088790935;67.85227632459788
36;50.72991165498868;64.52423496378236;65.64546215097155
37;53.16100336420523;62.40704498021582;63.753237392740736
38;48.182931441215025;60.5587015830682;61.59653200547994
39;50.14779490056495;58.711542148252725;59.74333123177143
40;48.87962995472171;56.89621480045695;58.10247207717489
41;48.42482020932595;54.91300988171332;55.722862584875834
42;50.35009087274171;53.07064875752684;53.987378736980574
43;43.723262613936576;51.025233250282476;51.96886049985115
44;46.0304725669057;49.66766178237931;50.65376802922273
45;36.37327704512722;47.60190443522675;48.50762756572016
46;43.92971747722452;46.046959528889545;46.85520215611395
47;32.217364204176725;44.27179151189039;45.172629949634405
48;40.847188995968395;42.85194916843606;43.497667498766894
49;40.8844395786072;41.702737593830285;42.32919630048128
50;39.83700295300819;40.565719363818054;41.309111841868955
