N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;136.26398720669522;163.31604084728303;167.4030339887268
2;123.08410764017752;179.8091230611099;184.95363372759442
3;154.59133002976571;178.6428792536605;182.00421872273125
4;162.54768900535564;175.84645836819507;180.72597451865366
5;163.8394090671926;170.5394065802348;175.63930492215974
6;167.01512803716943;170.9961800629486;174.24452409677934
7;135.63840426724533;168.82713539841654;172.14848895298513
8;114.04112653122542;165.5531430062783;170.57689543302527
9;111.40153071950482;160.63659422429205;166.02243900685772
10;129.6665529227984;159.53698483298868;163.522269192594
11;134.13110802286283;156.5389840026114;159.74697290196954
12;144.23508452516384;154.2888270479576;157.230413074979
13;118.15968496241247;151.052155756752;154.16304698405816
14;117.24863439412961;147.56820887214744;151.18124481209412
15;7.956328349945144;139.9768503921466;147.50380311504054
16;113.33660607845705;141.68052769629432;144.89124961344086
17;112.23347480566943;139.14952800499773;142.00515156613076
18;111.13536457186633;135.19875673653422;138.52215155006837
19;119.70291092750955;132.22754329480782;134.41953859060732
20;119.13413222579183;128.1934553437538;130.5681151086985
21;104.32440569253363;123.16856922951983;126.02163971989893
22;84.94828318036683;119.21080581662532;122.54074139837338
23;110.26837080244174;117.64881561035502;121.10860209730677
24;109.05095899470774;113.91730345146223;116.32526186868111
25;102.34014834657725;109.94614703928444;111.81525192190415
26;92.5081253855515;106.04833406800871;108.06889379386824
27;74.58550985245378;101.97040053809174;105.25015970291541
28;92.86904123660172;98.18500542935624;101.30412622747907
29;94.09134048498422;97.18772363572364;99.29078949651492
30;76.67489455425546;93.97675467704532;96.00903662846714
31;63.8192800015779;91.17529008551939;93.0800261969253
32;57.55209265944837;86.802293282699;88.8501115618925
33;81.27166190003146;84.14100607013373;86.10519086645353
34;75.64091200527997;81.05026074091187;82.6699849647215
35;65.12936568394291;78.24519264454764;79.84566728998541
36;60.05073702635809;75.53901516237575;76.7778582386385
37;62.02177435037988;72.74907496103368;74.3427397744275
38;57.25147335809244;70.35508420212038;71.58187940761366
39;56.19650315393711;67.96729092574158;69.11836703851326
40;58.43242377903725;65.63206141726128;66.85258262802631
41;54.30868531859314;62.950414319886015;63.926023572819076
42;57.811678827606244;60.774571234932075;61.84857975818093
43;48.42165290153951;58.206474837532255;59.17000795289289
44;51.66582848413057;56.50305421716332;57.45529151466959
45;39.37400295424579;53.84215961656654;54.746693033888405
46;49.68418787956028;52.04346277561318;52.85947038758345
47;35.372218522914515;49.80739444750209;50.7673246944745
48;45.63227123765877;48.04246939881481;48.69902753584326
49;45.658360926497174;46.64769497912146;47.34408074576495
50;44.2725955512404;45.03963580357532;45.90599661256944
