N;min(speedup_output);gmean(speedup_output);max(speedup_output)
1;124.20521935536773;150.97014141118106;160.55289044036533
2;117.52375339222533;164.71624974802208;174.3694437665509
3;119.75361240558072;163.43105347497445;173.15774530630648
4;115.23418030183984;161.62355237579206;172.60006924377043
5;136.01524208458986;157.112320292616;167.74458648427773
6;111.78422228233924;157.03396268864154;168.9815676766926
7;118.16639659734321;155.394979552314;167.31484979671586
8;108.78791852606162;153.28795454427353;165.0672920809249
9;128.86661410748502;151.2289647797146;160.64821924547127
10;101.75309020495108;147.49820676977276;158.152058356207
11;106.43151363933363;145.65554751981438;153.83620383253174
12;132.8552180108778;143.90207450419862;149.55136586480455
13;131.26016228523275;142.0326483561577;150.18056057256643
14;114.22444614848384;138.9007017204889;149.01245395599872
15;104.27609117838034;136.1949707414091;143.96293338734134
16;92.69979083078123;132.86699037973682;137.80213862886652
17;94.25389629664971;131.05950189306628;135.732275982424
18;93.68189767730446;128.2495216083779;136.6054833630619
19;92.87354903999676;125.2275115921925;134.40993289958058
20;98.04018052174112;120.98177132188788;127.06069766800469
21;96.22786942649697;118.32205699008514;126.5091142277471
22;79.64433937804732;113.97567122756534;123.86524404440722
23;80.30218105029687;112.75634834558953;117.60254873367342
24;80.1313612198526;109.03921553465919;118.14968277772594
25;100.62390495123047;107.00972317888679;116.10251504004488
26;77.44112510996645;103.42900646849554;109.43396002835487
27;77.55376965346089;101.13429829756238;108.77199351281007
28;91.20329915276422;98.07057974850419;106.09933926595619
29;69.47375159470461;94.91282491911305;102.84548658323429
30;86.20544579460126;91.9094546687833;99.6833120606591
31;71.95669419936866;89.5579067273771;94.50146712536079
32;71.25574747732374;85.78250227024947;90.85516861007086
33;49.28252835476538;82.44713365228797;89.19438036510148
34;48.35038029445927;79.69698635895756;84.24658570476632
35;47.004689401528914;77.12115837153051;82.17190887751393
36;44.43023947493323;75.17211738066895;80.05299386847351
37;42.5711434133731;73.01535843901088;77.4102090516114
38;41.294205938899495;70.44829630962177;75.34494152722068
39;41.04049570397646;68.02340115739146;72.85798269474827
40;41.284143708242915;66.41758585279925;69.6240973881872
41;38.730771036428976;63.23875204713554;67.38720673273248
42;36.871557200809725;61.19400765452224;65.96532063472101
43;35.22234882320478;58.87187277483098;62.94981303609196
44;34.41800635735086;57.49357623144894;62.07626629398508
45;32.63291734160896;55.11068914000691;59.434837891269424
46;30.810640605490164;53.15764506730591;55.53180433301893
47;30.276859903219965;51.17739801682626;54.70886034313398
48;29.970340978968636;49.64002216069971;52.605843105986615
49;28.567252625645892;47.44145051259881;51.51674900900386
50;40.691085000632505;47.01141750710737;49.28833554263112
