N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;156.34086107178817;203.06659499791246;215.6536715333285
2;164.1473394267553;226.83300553356415;240.12808542590793
3;168.7478273504635;224.88886108756634;237.417640059409
4;160.972733467777;222.5125355257063;238.54022418005155
5;175.61152378963644;216.2147653697454;232.4460648805983
6;155.0749303915293;215.22141669874404;231.8661715892645
7;168.95023374462522;213.20127840258164;229.19690151554306
8;147.89913822848362;209.55524292910135;226.41120652118045
9;171.000756070138;206.0583464650316;219.23605974458638
10;128.05885369598676;200.47401148605192;215.7736385699045
11;153.5897885267532;197.79830201434046;209.252530055827
12;177.46877164621733;194.90150714883325;202.72252656496931
13;172.89184260243997;191.81377849678677;202.04119369926335
14;172.34335267028385;187.3618283014034;200.59193149750436
15;127.73168161707709;182.6208082289356;194.60718883159265
16;123.71646420895863;177.454113417269;185.1013234303582
17;120.64844294278772;174.92499583868644;181.6949561543721
18;118.39917536407353;170.67155263918468;181.47430165623678
19;115.15379744000244;165.66603295223888;177.8429289049056
20;136.71203282211658;159.19108789563927;168.26303694268793
21;125.64792766721769;155.12387032642593;166.42950648999937
22;100.59244298253977;148.5509108788346;161.85436922682513
23;104.76728790549826;146.90107187295075;152.90484530046345
24;96.45918096444383;140.68932022446603;152.5155040717896
25;126.99853735867678;137.58093637585455;149.13859445723674
26;106.3907861618936;132.5048139171592;139.82973573299935
27;92.44195717532652;128.87141805601254;139.00722967714336
28;119.28949295253405;123.96129323820189;134.03149638997974
29;86.72514798630608;119.61732622200942;129.4296565528558
30;108.07979044654536;114.97637052588122;124.6879049038516
31;88.48808619963616;112.1405418993372;118.36316769407681
32;83.82537279537772;106.66382811717027;113.15172096849957
33;61.351523726695326;102.01270454402687;110.69200771786782
34;59.02807846892211;97.91134074826044;104.21799161131774
35;57.398671044604114;94.53456854617673;100.72256268091692
36;54.312854309996965;91.5630061231091;98.01464823511942
37;51.34388480114893;88.61192366555254;94.08788235785492
38;49.63318822897542;85.08866354300645;90.62165197313534
39;48.93594176646595;81.68740584597856;87.60623028733065
40;49.027484760267534;79.51095349577795;83.94769021776357
41;45.97431882792396;75.04030161823788;80.20606298399406
42;43.42538334241534;72.62948747783221;78.19938476731026
43;41.421720902834444;69.5744756386304;74.68513056659815
44;40.227614049673264;67.80080216441897;73.12071742058671
45;37.74041009794999;64.52476936991958;69.54824850061526
46;35.75316395668722;62.03813050828779;64.90590927658239
47;34.63053920028942;59.41706814784908;63.79992649180789
48;34.53692550131964;57.41015915383645;60.87427609273691
49;30.441218003801616;54.70602791298774;59.52832451273945
50;45.90248555195576;53.774157459262916;56.87941161342195
