N;gmean(error_output);max(error_output);gmean(relative_error_output);max(relative_error_output)
1;1.6578599093996776e-05;0.0001881650868446362;0.0134440498476955;0.15091280941536392
2;3.66881754654876e-05;7.127156714261881e-05;0.029751467960740914;0.058771777053907355
3;1.0883356617811472e-05;4.305007522783719e-05;0.008825618380088954;0.03672862868156476
4;4.822500217887164e-06;8.809121716690793e-06;0.003910700352436564;0.0073144790178943046
5;2.635290094761007e-06;7.236711215892477e-06;0.002137030468993868;0.006145006964086859
6;1.2089359136958159e-06;4.371259800958066e-06;0.0009803599564863813;0.0034595336102980472
7;6.263469019398379e-07;1.6703662845674039e-06;0.0005079222269557156;0.0013363526363055574
8;7.189650619486222e-07;1.8771935301441223e-06;0.0005830288842130684;0.0015554957819802625
9;1.777942973504339e-07;6.515977141845208e-07;0.00014417837011818232;0.0005593292984943523
10;1.0258280463358986e-07;2.9994381987863417e-07;8.318726637824154e-05;0.0002549976234390979
11;6.349821111036646e-08;1.5808870473463243e-07;5.149247596658401e-05;0.00013439931523245925
12;7.653329056377675e-08;2.018067570483395e-07;6.206298659578245e-05;0.00016953530812127606
13;7.265215677936817e-08;1.8905389871995415e-07;5.89156666221633e-05;0.00015882179288644226
14;3.5069440610669657e-08;1.6325849136120119e-07;2.8438790577387563e-05;0.0001383724511456589
15;1.0694838830682676e-08;3.9303740848734003e-08;8.672744032083644e-06;3.3738199687577185e-05
16;9.117393930815141e-09;2.222203496562991e-08;7.393549828425497e-06;1.9075320489726198e-05
17;1.3956314849168795e-09;5.41872998902071e-09;1.1317566186294961e-06;4.335177363886502e-06
18;1.4134868304848389e-09;7.670879556553878e-09;1.146236017914226e-06;6.544492324405819e-06
19;1.2209982487207156e-09;5.998559256953362e-09;9.901416414426923e-07;5.099682851277401e-06
20;3.3193298916849204e-10;9.593035983634923e-10;2.6917374786459973e-07;7.582836167960379e-07
21;3.2489179079773186e-10;9.833399788883312e-10;2.6346384310441515e-07;8.275225937137178e-07
22;2.673764047394864e-10;1.003337496419121e-09;2.1682300736235986e-07;8.560080360658663e-07
23;2.1678578888871296e-10;8.024802836126277e-10;1.7579766152540584e-07;6.66973372988644e-07
24;9.409592561276668e-11;3.259606334848897e-10;7.630501873111565e-08;2.6716094970236493e-07
25;1.1339277401570725e-10;4.718176058182699e-10;9.195337299565135e-08;3.998968633509365e-07
26;7.316167658147423e-11;3.4094590345423725e-10;5.9328850485230824e-08;2.889743741699542e-07
27;6.991109115893554e-11;3.3843091870600084e-10;5.669285981997409e-08;2.868427569946032e-07
28;2.7199291568088127e-11;1.8757587844087098e-10;2.2056666524724182e-08;1.6101450667932167e-07
29;3.900933604017561e-11;2.398715739926338e-10;3.163376201307197e-08;2.059049568305303e-07
30;2.990269079089767e-11;2.0705701736511983e-10;2.4248928591235705e-08;1.7773705117444474e-07
31;2.2325488518484232e-11;1.6975711461530985e-10;1.8104363270678323e-08;1.3948620397954202e-07
32;1.853657058185143e-11;1.4633482273151976e-10;1.5031823708070567e-08;1.2561332239501697e-07
33;1.4376368359614319e-11;1.4650872875998644e-10;1.1658199330332584e-08;1.2038344590687222e-07
34;1.2920389300091123e-11;1.528360354940972e-10;1.0477505175027545e-08;1.311939416861786e-07
35;1.1870786386866183e-11;1.4565608441596822e-10;9.626352806502425e-09;1.250306956950848e-07
36;9.40293086208965e-12;1.314087727521951e-10;7.62509971485725e-09;1.0797609821745208e-07
37;1.195708740778613e-11;1.239605050551429e-10;9.696336718929348e-09;1.0185599780434364e-07
38;8.241373309477199e-12;1.378079317326808e-10;6.68316019694324e-09;1.1323416588001972e-07
39;6.712533172179383e-12;1.3062089604387594e-10;5.443380955135562e-09;1.0732871485742988e-07
40;5.830692291352547e-12;1.2906011329083533e-10;4.728271512392279e-09;1.0604624924795174e-07
41;7.054246950186861e-12;1.295380538945956e-10;5.720486218320299e-09;1.055901414849265e-07
42;7.593339648827027e-12;1.3127056039397011e-10;6.157651570588926e-09;1.0700235666720306e-07
43;6.732249164860948e-12;1.3076390317778852e-10;5.459369205222553e-09;1.0744622110921004e-07
44;6.926821087424968e-12;1.285743421453045e-10;5.617153021037233e-09;1.0564710030361184e-07
45;6.494373354495603e-12;1.2891933007241896e-10;5.2664690552170765e-09;1.0593057034538896e-07
46;4.842200465609887e-12;1.3103898868771502e-10;3.926675834495963e-09;1.0681359600196043e-07
47;4.4063167651146035e-12;1.2871496229971413e-10;3.5732055464437745e-09;1.0491921618270366e-07
48;3.950422687869216e-12;1.3102859769409392e-10;3.2035082840270048e-09;1.0680512600836677e-07
49;5.009316799701568e-12;1.3425636297137444e-10;4.062195145455476e-09;1.1031590913531967e-07
50;4.176348497625054e-12;1.316393972994323e-10;3.386717844196532e-09;1.0816559803730658e-07
