N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;0.10822851013757656;0.13566882921973325;0.24139296758921516;0.30125854918197414
2;0.08405037288828633;0.09693370640114223;0.1874660282460935;0.2161682247126866
3;0.04101228875266637;0.06504901869480764;0.09147384618939379;0.14477090480297228
4;0.022571489612291416;0.032692105294423235;0.05034347099016784;0.07259424487809878
5;0.013797749558373455;0.018515327780629774;0.030774513182475666;0.04134695390845111
6;0.010971009836527622;0.016078351649558207;0.02446975033217596;0.03555784193284087
7;0.006561583985227606;0.009880367467156828;0.014634962897174981;0.022034595803279097
8;0.0035351019286249774;0.0050165506085850815;0.007884694561501327;0.01112771058304044
9;0.0020422414289517745;0.0031994606099386117;0.004555017143279929;0.007146400574298717
10;0.001163086936382087;0.0018522969196719948;0.0025941501622874247;0.004113106053055405
11;0.0008009739810421263;0.0012667168865910922;0.00178649309687186;0.002788719365798941
12;0.0004248015351287086;0.0007992097221837689;0.0009474777308753716;0.0017903789512604246
13;0.00041468058809091;0.0007764040822200836;0.0009249039613837467;0.0017392900610384197
14;0.0002605086813584656;0.0005363370956655202;0.0005810388001824637;0.0011842808290153254
15;0.00011854063091112844;0.00023824867315204229;0.00026439313115519074;0.0005337214972956244
16;6.493486124111656e-05;0.00010285929544023576;0.00014483077365716048;0.00022747696084180247
17;3.5405256030479726e-05;8.828709157502106e-05;7.896791529874444e-05;0.0001977795640323474
18;2.0008526587151493e-05;6.400861122130018e-05;4.462703592445809e-05;0.00014339123642902434
19;1.228969975955187e-05;6.252927431904759e-05;2.7410957537598704e-05;0.0001401440667783168
20;1.1669169249350947e-05;6.251056805709532e-05;2.6026925722445285e-05;0.0001401021412697808
21;7.715562223429603e-06;6.319628378487227e-05;1.720879701074504e-05;0.0001416390052713392
22;7.286395486406684e-06;6.265095302588915e-05;1.625158312958884e-05;0.0001404167798235713
23;5.033211853640128e-06;6.195506966150805e-05;1.1226080302786727e-05;0.0001388571275526983
24;3.8065134431523876e-06;6.173132422121e-05;8.490051050714501e-06;0.0001383556569012642
25;3.3899548445113494e-06;6.214076986714804e-05;7.5609583728891875e-06;0.00013927332912073778
26;2.6438280999056163e-06;6.229457170119388e-05;5.8967966021218755e-06;0.00013961803829473472
27;2.5281182812711777e-06;6.229599395290524e-05;5.638717317246988e-06;0.00013962122592390495
28;2.0399175918812e-06;6.229040520136424e-05;4.549834054961102e-06;0.00013960870010495537
29;1.8798041207556871e-06;6.231337495726658e-05;4.1927168231257245e-06;0.0001396601811918561
30;1.7062962319169664e-06;6.230173528773223e-05;3.805724669822712e-06;0.00013963409372095125
31;1.6596464729822806e-06;6.229873720744711e-05;3.7016770050045346e-06;0.0001396273742576557
32;1.580588163829613e-06;6.229662553673229e-05;3.5253452802612943e-06;0.0001396226414644977
33;1.5307277270002746e-06;6.230431418711746e-05;3.414136516542503e-06;0.00013963987369283794
34;1.481399771877096e-06;6.230391558818237e-05;3.304115400506121e-06;0.00013963898033086649
35;1.4649845355336766e-06;6.23045347629578e-05;3.2675028424141847e-06;0.00013964036805960668
36;1.403895287975474e-06;6.230827434572734e-05;3.1312493290180997e-06;0.00013964874941926718
37;1.301863052086531e-06;6.23080708076371e-05;2.903676537156833e-06;0.00013964829323844592
38;1.2643733324578172e-06;6.230794051956785e-05;2.820059432349979e-06;0.00013964800122962166
39;1.231381602461778e-06;6.230400118276778e-05;2.7464746477167706e-06;0.00013963917217018376
40;1.2061869568790056e-06;6.230385976967232e-05;2.6902804872607785e-06;0.00013963885522733563
41;1.1947670794556384e-06;6.230342320330239e-05;2.6648095822540854e-06;0.00013963787677065008
42;1.1688939511433873e-06;6.230297211426102e-05;2.6071021333002643e-06;0.00013963686576495035
43;1.1545227703884782e-06;6.230190546786488e-05;2.5750486386547293e-06;0.00013963447513807363
44;1.1270828476324027e-06;6.230128840200658e-05;2.5138466099463196e-06;0.0001396330921359551
45;1.1196771965150946e-06;6.230111402010026e-05;2.497329038948955e-06;0.00013963270130158527
46;1.0985829771161843e-06;6.230116058903258e-05;2.4502804727882666e-06;0.00013963280567445114
47;1.0881074640873532e-06;6.230115198024916e-05;2.426915878987285e-06;0.00013963278637996976
48;1.078628414859599e-06;6.230119779783719e-05;2.405773798955852e-06;0.00013963288906888125
49;1.0596859605083908e-06;6.230110220679481e-05;2.3635245315174576e-06;0.00013963267482495196
50;1.0331580607624108e-06;6.230058440439117e-05;2.304356679761481e-06;0.00013963151429757618
