N;gmean(error_y);max(error_y);gmean(relative_error_y);max(relative_error_y)
1;2.0787601162555958;2.2761947069449113;0.24735289751194076;0.26458861826161517
2;1.1364568055748823;1.4288223087910104;0.13522766843461403;0.17530832727123274
3;0.6156378850642928;0.7973210479544576;0.07325511659472897;0.08565300135360644
4;0.31057581113156707;0.4161323608143324;0.03695559972494137;0.05114848443283565
5;0.20445666079984998;0.28802757623459063;0.024328419171113592;0.03167320717994641
6;0.12692971166685488;0.18261057892383173;0.015103441573482342;0.02085499930522187
7;0.07004525925791093;0.13004375647420985;0.008334726887885427;0.014530757550443802
8;0.03309444536075843;0.04825347159205746;0.0039379276557794446;0.005327109311590398
9;0.01998499930827639;0.03924081209742405;0.0023780269050863783;0.0044024412409986655
10;0.010850426844285038;0.017552068725368464;0.0012910987170610348;0.002224660487068725
11;0.007913053646607302;0.012758233186100669;0.0009415789404221383;0.0016190624130676548
12;0.0043350458621920175;0.00839183781138259;0.0005158296748505161;0.000956534258130159
13;0.004404978250534006;0.00870383745672366;0.0005241509711612603;0.0009920971891592112
14;0.0027691578784063845;0.005242051020321361;0.0003295037361625119;0.0006613869974169041
15;0.0012190673353729882;0.0024392418470244137;0.00014505754430666257;0.00030954793922417567
16;0.0007079401231386193;0.0012660449932043183;8.423821457509939e-05;0.0001597362737226422
17;0.0004098523992641924;0.0011027143853267996;4.876857974975393e-05;0.00013985354717816108
18;0.0002119116970717644;0.0004569510190180461;2.5215498352830907e-05;5.8235673378335474e-05
19;0.00011265344369471761;0.0002697345479720835;1.340469999144458e-05;3.403227517078335e-05
20;0.00010240593193202303;0.00028087295587633185;1.2185342497057002e-05;3.546829725523194e-05
21;5.3644967746748605e-05;0.0001591011809068941;6.383246486850213e-06;2.016549252100254e-05
22;4.653397016885615e-05;0.00014446620970000781;5.537104673113471e-06;1.8310563470599968e-05
23;2.650387164994054e-05;7.20878306301514e-05;3.1537113862402478e-06;9.14818653260069e-06
24;1.893720603876429e-05;5.092507454807386e-05;2.2533493633245277e-06;5.804637732272788e-06
25;1.4866941317240184e-05;4.5831019897302795e-05;1.7690261532356622e-06;5.223997603642013e-06
26;1.1498854503791667e-05;4.568487074969474e-05;1.368255508338492e-06;5.207338956319967e-06
27;1.0399969547518886e-05;4.551042725554157e-05;1.2374985365066805e-06;5.18745520951553e-06
28;8.240899113410576e-06;4.398416080859867e-05;9.805894667045145e-07;5.013485433603601e-06
29;6.520410557097583e-06;4.3558438603445405e-05;7.758675143194007e-07;4.964959963637599e-06
30;5.760068706451019e-06;4.468195496321264e-05;6.853939871498511e-07;5.093022720788287e-06
31;4.85903527543495e-06;4.458555504478621e-05;5.781794854985487e-07;5.082034683777995e-06
32;4.279900853731014e-06;4.41146958025084e-05;5.092679376305833e-07;5.028364319059432e-06
33;3.943044325057575e-06;4.411948000825483e-05;4.691851797588955e-07;5.028909641406844e-06
34;3.7516936737148228e-06;4.419996841862283e-05;4.4641625241595465e-07;5.038084022946368e-06
35;3.579287559856207e-06;4.4213819556127076e-05;4.2590154680936647e-07;5.039662829381225e-06
36;3.368148985457031e-06;4.419801279616038e-05;4.0077804278127827e-07;5.037861113504676e-06
37;2.879483871650753e-06;4.4121992474727544e-05;3.4263149144628795e-07;5.029196022090977e-06
38;2.681785364342023e-06;4.4156806750676173e-05;3.191072289620305e-07;5.033164288442799e-06
39;2.6377712627830893e-06;4.407283567129092e-05;3.138699649473662e-07;5.023592938765948e-06
40;2.4823439945908598e-06;4.408402940083073e-05;2.953755822434294e-07;5.024868843522656e-06
41;2.4255710019918293e-06;4.409932782672637e-05;2.8862013022663277e-07;5.0266126175079926e-06
42;2.2583992635774345e-06;4.4118131090004927e-05;2.687282660545454e-07;5.02875588646705e-06
43;2.1812741828694005e-06;4.415396340719519e-05;2.5955110701883215e-07;5.032840193112512e-06
44;2.0031539750056092e-06;4.409579222575462e-05;2.3835647798203002e-07;5.026209615980965e-06
45;1.9760264981888058e-06;4.40925407491829e-05;2.351285634476147e-07;5.0258390000562695e-06
46;1.8707628766009518e-06;4.410380308733698e-05;2.2260318276576003e-07;5.027122725089231e-06
47;1.8405929203325646e-06;4.4108918891993723e-05;2.190132417992988e-07;5.027705844367995e-06
48;1.7820115126280598e-06;4.411757165866526e-05;2.120426053979524e-07;5.028692120310758e-06
49;1.6870459587120895e-06;4.410034565014016e-05;2.0074259788806437e-07;5.026728632972768e-06
50;1.5632949870894834e-06;4.407846306153639e-05;1.860173964752601e-07;5.024234370556534e-06
