N;gmean(error_output);max(error_output);gmean(relative_error_output);max(relative_error_output)
1;5.116976278964026e-05;0.00039516720646875017;0.04347735399932217;0.34944534322352744
2;1.727388296855163e-05;0.00012059364363924477;0.01467708044405143;0.12318547846010734
3;9.33011213629886e-06;6.666559970461977e-05;0.00792750573949041;0.05895221817153846
4;5.436313685986292e-06;4.954776546412659e-05;0.004619066450408442;0.04381496142681507
5;3.4200223568384907e-06;4.8379189207112955e-05;0.0029058864959985186;0.042781592451529696
6;1.4163448227936375e-06;4.239086690890556e-05;0.0012034240904898908;0.03748613446165809
7;1.0910214411549615e-06;4.508357433672186e-05;0.0009270069437872881;0.03986728870702744
8;7.405551851814285e-07;4.363404811714294e-05;0.0006292266797196319;0.03858547640322152
9;2.806205259466834e-07;4.388171136609359e-05;0.00023843452228256232;0.038804484376597614
10;1.1948500079583525e-07;4.399246743404597e-05;0.00010152268437448317;0.03890242568231871
11;8.681287101612696e-08;4.388903419098866e-05;7.376219312139941e-05;0.03881095993179788
12;1.0113030015497e-07;4.410140590613634e-05;8.592726681128008e-05;0.038998759692698885
13;8.660000124698776e-08;4.397860108618437e-05;7.358132430739585e-05;0.03889016370660708
14;5.1462806007447564e-08;4.4090646371168496e-05;4.3726343696031977e-05;0.03898924506362993
15;1.654813065280876e-08;4.405957037452446e-05;1.4060431301527642e-05;0.03896176463981054
16;6.034477626058706e-09;4.409759919394435e-05;5.127307723268562e-06;0.03899539342690884
17;4.515185208064826e-09;4.409434034077786e-05;3.836412266958594e-06;0.038992511631444446
18;4.629574672330454e-09;4.410369327284211e-05;3.933605432620001e-06;0.0390007824051874
19;1.817325963718002e-09;4.408437871188109e-05;1.5441252792503373e-06;0.038983702588659734
20;1.9776466511909675e-09;4.4088455689761386e-05;1.6803447749578325e-06;0.038987307849702085
21;8.733278933331889e-10;4.4106108943491734e-05;7.420395152509198e-07;0.03900291857652312
22;7.158089614746497e-10;4.4105034274596194e-05;6.082005840414277e-07;0.039001968249585794
23;3.3742590539928773e-10;4.410536084278882e-05;2.8670028426547195e-07;0.0390022570329977
24;5.849172131413677e-10;4.410633232499947e-05;4.96985941494198e-07;0.039003116112215255
25;5.196710280070923e-10;4.410292677179198e-05;4.415482897730038e-07;0.03900010459028232
26;3.7245010956553705e-10;4.410221524525637e-05;3.164592598804374e-07;0.03899947538919888
27;3.283673550957538e-10;4.410290393227351e-05;2.7900351615875864e-07;0.03900008439335494
28;2.986582737346347e-10;4.4102781839201743e-05;2.5376063487665865e-07;0.03899997642676594
29;2.7365504013548675e-10;4.4102689035218495e-05;2.3251616589627977e-07;0.0389998943604425
30;2.569779543083965e-10;4.410275695377816e-05;2.183461653988704e-07;0.038999954420649935
31;2.2294288680303553e-10;4.41029483330517e-05;1.8942762840262263e-07;0.039000123656848774
32;1.499111970953998e-10;4.4103428370169395e-05;1.2737487588858704e-07;0.039000548152435977
33;1.3046359051217046e-10;4.410357760380526e-05;1.1085085017960241e-07;0.03900068011935593
34;1.3722291784805357e-10;4.410330628903253e-05;1.1659404012925394e-07;0.039000440196400976
35;1.1838026437438355e-10;4.410328165681959e-05;1.0058402423902635e-07;0.0390004184141985
36;7.81512727561972e-11;4.410310364770867e-05;6.640270280491993e-08;0.039000261001200034
37;9.419993225874465e-11;4.410309234863241e-05;8.003874902376509e-08;0.03900025100945599
38;7.724504111249118e-11;4.410311931692806e-05;6.563270599761163e-08;0.039000274857450404
39;6.558171515428017e-11;4.410309549727695e-05;5.572274113067873e-08;0.03900025379379425
40;5.6582840107143746e-11;4.410317588311036e-05;4.807667723101903e-08;0.03900032487877976
41;5.833769820146808e-11;4.4103168384618946e-05;4.9567725506915145e-08;0.039000318247883116
42;5.173210671207859e-11;4.410311009717116e-05;4.3955160118645464e-08;0.039000266704443114
43;4.499591671794554e-11;4.410305212623408e-05;3.8231629247775354e-08;0.039000215440892716
44;4.950778257142781e-11;4.410300421986424e-05;4.2065221162510935e-08;0.03900017307741321
45;4.2501748573016286e-11;4.410302348742401e-05;3.61124122442352e-08;0.0390001901156667
46;3.4184139684138147e-11;4.4103027080234086e-05;2.9045198984398117e-08;0.03900019329277941
47;2.2629601343512017e-11;4.410296096657787e-05;1.922766756844524e-08;0.03900013482864344
48;2.2866057245964526e-11;4.410294079792987e-05;1.9428576785445726e-08;0.03900011699355994
49;2.2872827529842707e-11;4.410296867882538e-05;1.943432928482811e-08;0.03900014164856405
50;2.428277038437611e-11;4.410294502268236e-05;2.0632313822246725e-08;0.03900012072949769
