N;gmean(error_p);max(error_p);gmean(relative_error_p);max(relative_error_p)
1;0.04298809605022287;0.05895530733793383;0.525955521383213;0.7292440761261877
2;0.030564724865706123;0.0605946458575514;0.3739566828895079;0.6508139264136925
3;0.021005610198310275;0.039406290769234124;0.2570017674408618;0.47927584944338175
4;0.013454730824166993;0.03437942214295803;0.16461743170546517;0.36925055664640044
5;0.008417526131054436;0.01887803809585379;0.10298768151637176;0.20724664805202156
6;0.005716828450985354;0.011435129361983614;0.06994488625603587;0.12281846578683497
7;0.0033629009591142353;0.005822629856825303;0.04114479332242642;0.06271583245998077
8;0.0016408809297714711;0.00286189407204266;0.020076031837684763;0.03205501028493854
9;0.0009024208728104455;0.0015529694606177121;0.011041038898573191;0.019388060021125333
10;0.0007720957268367613;0.0021379118870192113;0.009446522360323834;0.023007542616461332
11;0.0003397180156176085;0.0008937867674533629;0.004156419624136928;0.009610266550188573
12;0.00017785136222469612;0.0006373369760530012;0.0021759955555677515;0.0068519625173549085
13;0.00012426335961399402;0.0006026946577189225;0.0015203511227445741;0.006479525524589492
14;7.31071604587394e-05;0.0004461236010416086;0.0008944595883241741;0.005082635895828088
15;3.9129065317291375e-05;0.0003543522660536045;0.000478740624524287;0.005017503679603516
16;1.9311205616048163e-05;0.00035206003605885064;0.00023627087848833398;0.004985046507645047
17;1.3756780803461485e-05;0.00035372212676326807;0.00016831298626452298;0.005008581128484717
18;8.090809094727405e-06;0.000357535229220188;9.899032771439377e-05;0.005062573320552162
19;5.1572562324658065e-06;0.0003642200024420486;6.309857006656878e-05;0.005157227362451041
20;3.631270482692056e-06;0.0003683045754058474;4.4428270509502346e-05;0.005215063481586708
21;2.2907734119657293e-06;0.00037354807730831445;2.802740839821366e-05;0.005289309627611512
22;1.347517226574658e-06;0.00037367676595051556;1.6486753092017046e-05;0.005291131813604446
23;1.018552340999112e-06;0.0003736261032613128;1.2461897054952298e-05;0.005290414447712238
24;8.409581425668558e-07;0.00037363542402428013;1.0289047875450526e-05;0.005290546426443477
25;7.566955497107151e-07;0.0003736333134888957;9.258102566614893e-06;0.00529051654200341
26;5.077616681496456e-07;0.00037361441211638565;6.212418726292301e-06;0.005290248905204654
27;4.882155178376852e-07;0.00037363752774991973;5.973273320402466e-06;0.005290576214459948
28;4.5441890473198354e-07;0.00037361460055630643;5.559774773124881e-06;0.005290251573447774
29;4.448492045951453e-07;0.00037363423353206594;5.442690345401637e-06;0.005290529569491688
30;3.884385251547055e-07;0.0003736271695164311;4.7525107133003655e-06;0.005290429545510367
31;2.8972146224240583e-07;0.0003736321191004219;3.544716252415222e-06;0.005290499629881954
32;2.3074752086311853e-07;0.0003736407825613388;2.823175339090559e-06;0.0052906223014469265
33;2.1977080312004658e-07;0.0003736520215460422;2.688876176436579e-06;0.005290781441524489
34;2.0489295635025123e-07;0.0003736454635596748;2.506847048053554e-06;0.005290688582739936
35;1.961881016046545e-07;0.0003736429396047222;2.4003439265629906e-06;0.00529065284442393
36;1.7373025146422818e-07;0.0003736396029980651;2.125574132944909e-06;0.005290605599245097
37;1.6878350747002874e-07;0.00037363596400232993;2.065051161339488e-06;0.005290554072343084
38;1.5007136799652553e-07;0.0003736418101715564;1.8361098036789039e-06;0.005290636852046829
39;1.4235756163757565e-07;0.00037364342685686745;1.7417320708146543e-06;0.00529065974374324
40;1.1487959510587223e-07;0.00037364265078594763;1.4055416008564548e-06;0.005290648754851482
41;1.1280560112113236e-07;0.00037364714226123844;1.3801664694173934e-06;0.005290712352564711
42;1.0034636515117976e-07;0.0003736474684658256;1.227728828472399e-06;0.0052907169715071395
43;9.28322057410053e-08;0.00037364277416371614;1.135793758221382e-06;0.005290650501837369
44;8.721760331926784e-08;0.00037364225946083876;1.0670995983164021e-06;0.005290643213825329
45;8.253496619710424e-08;0.000373641216183763;1.0098079507366043e-06;0.005290628441388215
46;7.622538212732931e-08;0.0003736403835939297;9.3261075234818e-07;0.005290616652208485
47;7.232839686218153e-08;0.0003736457916209401;8.849314851724753e-07;0.005290693227972276
48;6.340077297456479e-08;0.0003736553896163924;7.757028030964178e-07;0.00529082913221817
49;6.037967513715123e-08;0.0003736580769716513;7.387399404850982e-07;0.005290867184225146
50;5.656980415601575e-08;0.00037365966342353375;6.921265088052044e-07;0.005290889647826823
