N;gmean(error_u);max(error_u);gmean(relative_error_u);max(relative_error_u)
1;0.1435679351876028;0.2661632806616807;0.3164667812944261;0.5692738838933937
2;0.06416819342919834;0.14085891738955023;0.14144594062372542;0.30257672748442527
3;0.04124184437871402;0.11748097043888152;0.09090939232442387;0.25235894351498384
4;0.025083191013888215;0.095391380490901;0.05529087476521656;0.20490865806767675
5;0.0168254388444838;0.08728633719749028;0.03708831270730561;0.18749834765717138
6;0.012322860384498074;0.08330385003042257;0.027163279579989718;0.178943632367634
7;0.009000865734773187;0.09348953294521789;0.019840607195644407;0.20082333058389637
8;0.004495736076937924;0.09391553314599523;0.009909950463232889;0.20173841462009154
9;0.002611191735431408;0.09388605993716849;0.005755849610672258;0.20167510370417277
10;0.002507169579886935;0.09386311002011731;0.005526553586421079;0.20162580536420202
11;0.0012631259325637776;0.09389210368656684;0.002784308332676333;0.20168808618301456
12;0.0008899245092903162;0.09391028665423794;0.00196166048276807;0.20172714471729722
13;0.000693300965991082;0.09390945407596388;0.0015282432312536344;0.201725356269578
14;0.0004537356980989059;0.09391772045161483;0.001000169541674507;0.20174311313537657
15;0.00025388049597426356;0.0939180994465492;0.0005596287450217889;0.20174392724817186
16;0.00013435957902140327;0.09391797782426804;0.0002961688029671498;0.20174366599334678
17;8.020103561972768e-05;0.09391789429574265;0.00017678713262741483;0.20174348656709298
18;5.26407516996095e-05;0.09391786242405979;0.00011603600228369813;0.20174341810405436
19;3.3251015405604896e-05;0.09391780071735199;7.329520903419507e-05;0.2017432855528886
20;3.0066723082520803e-05;0.09391787938217035;6.62760738709699e-05;0.2017434545314932
21;2.4584936869374262e-05;0.09391787407954175;5.419257321776521e-05;0.20174344314100376
22;1.8397767582535012e-05;0.09391787056965233;4.055419674483518e-05;0.20174343560146793
23;1.693759828167857e-05;0.0939179424525242;3.7335545740464715e-05;0.20174359001188466
24;1.5118263873621182e-05;0.09391796964458625;3.332518713592133e-05;0.20174364842270665
25;1.4693797674607644e-05;0.09391804853097824;3.238953634736216e-05;0.20174381787726992
26;1.00532175817666e-05;0.09391804628568104;2.216030623827579e-05;0.20174381305418387
27;9.84553281848779e-06;0.09391804475351115;2.170250674096561e-05;0.2017438097629549
28;9.189916579823057e-06;0.09391804469149888;2.025733194936983e-05;0.20174380962974736
29;9.102252685740826e-06;0.09391804391424664;2.006409443878171e-05;0.2017438079601446
30;8.09113248200599e-06;0.09391804393681472;1.783528230214677e-05;0.2017438080086227
31;6.3172700459087776e-06;0.09391804270362075;1.3925157559618282e-05;0.201743805359619
32;4.821115109621918e-06;0.0939180426780116;1.0627183423640422e-05;0.2017438053046084
33;4.659926494182996e-06;0.09391804265770862;1.0271875379106598e-05;0.2017438052609959
34;4.260396923202846e-06;0.09391804283541029;9.391192396553372e-06;0.20174380564271394
35;3.90030009516183e-06;0.09391804296779199;8.597431004251107e-06;0.2017438059270809
36;3.5906706212257485e-06;0.09391804280606168;7.914914794190691e-06;0.20174380557967067
37;3.4846419496134137e-06;0.09391804283283745;7.681195806826062e-06;0.20174380563718725
38;3.1458738644591925e-06;0.09391804278986118;6.93444935975946e-06;0.20174380554487065
39;3.092991939037329e-06;0.0939180427942522;6.817881738270389e-06;0.20174380555430294
40;2.7113504039927063e-06;0.09391804277040594;5.976629351057262e-06;0.20174380550307916
41;2.680496107067074e-06;0.09391804274372977;5.9086172282639675e-06;0.20174380544577653
42;2.580863519161137e-06;0.09391804276305124;5.688997127400756e-06;0.20174380548728066
43;2.449412961737057e-06;0.09391804279092135;5.399240680371019e-06;0.201743805547148
44;2.3834728313721155e-06;0.0939180427998112;5.25388885938495e-06;0.2017438055662441
45;2.3440396802657823e-06;0.0939180427950018;5.166966369411059e-06;0.20174380555591312
46;2.2565482827202414e-06;0.0939180427672444;4.974109092916779e-06;0.20174380549628793
47;2.199364916614434e-06;0.0939180427738877;4.84805980627459e-06;0.20174380551055826
48;2.115901796815289e-06;0.09391804276017922;4.664082061904941e-06;0.20174380548111132
49;2.0592235967577105e-06;0.09391804275358352;4.5391463127186945e-06;0.2017438054669432
50;1.9980980425412713e-06;0.09391804276469137;4.404407261325101e-06;0.2017438054908038
