N;gmean(error_y);max(error_y);gmean(relative_error_y);max(relative_error_y)
1;1.7950032603165214;3.3015731331248377;0.21288403089748908;0.32815830297540766
2;1.0913509392377103;1.8148804812897112;0.12943218110239882;0.18038918867731873
3;0.6489563082062387;1.1493515903220701;0.07696500492313105;0.11423925873942323
4;0.33137181047980174;0.5304947309620079;0.039300077220082406;0.07059857017343851
5;0.2076980981080597;0.3402735983974185;0.02463260614200173;0.045660203070455374
6;0.12475441351466246;0.21665027376651244;0.01479564021324974;0.025650387035211653
7;0.07805657028920333;0.15378721045555319;0.00925736330878231;0.018182893528311025
8;0.034182056616819056;0.0669741413294878;0.004053928011067497;0.006726964925443726
9;0.020943916937291484;0.048572109124271;0.0024839093939063943;0.005098995033948112
10;0.019860288369541325;0.05560410730662194;0.002355393071625369;0.005575844069613743
11;0.009704676362628617;0.04269040257586696;0.0011509564736209225;0.004264987861191406
12;0.006242815527780184;0.03828217030917752;0.0007403862505903933;0.003824583086995835
13;0.005312365158804935;0.037186604355763535;0.0006300365763159421;0.0037151304885074178
14;0.0033556326803568294;0.031562850965304846;0.000397971762502392;0.0031532889855603536
15;0.002044600208364557;0.030320121992789214;0.00024248576231206476;0.0030291340546455938
16;0.0011070440109645305;0.030041851453215064;0.00013129335007084942;0.0030013334155838804
17;0.0007304974985305494;0.031348285648377466;8.663563765354612e-05;0.0031318528215302376
18;0.00043439921086917984;0.03133075982442522;5.1518934295535764e-05;0.003130101902777929
19;0.000231192198744213;0.03114930067843349;2.741896255499994e-05;0.003111973213230401
20;0.0001949198547769004;0.030788537841899718;2.3117130371976434e-05;0.003075931175073203
21;0.00012889681330388627;0.030725526276368095;1.5286921083994933e-05;0.0030696359999075567
22;9.826797978266264e-05;0.030667297711638234;1.1654398689280004e-05;0.0030638186707946232
23;9.027040182575002e-05;0.030792570434667824;1.0705900895139947e-05;0.003076334051555207
24;7.55004845788031e-05;0.030842063478141227;8.954216322155942e-06;0.0030812786577638827
25;6.669640708266522e-05;0.030886849122423007;7.910069190422469e-06;0.003085752970904359
26;4.6706611073978585e-05;0.030911057029017946;5.539316754910281e-06;0.0030881714636226878
27;4.2995212913829536e-05;0.030922201451822687;5.099151871611536e-06;0.003089284848016235
28;3.703208858973125e-05;0.030922496614588;4.39193647489239e-06;0.0030893143362743718
29;3.605210570669531e-05;0.03092020337030073;4.275712337051842e-06;0.0030890852295323928
30;3.150344753734414e-05;0.030921270566274042;3.7362499819274967e-06;0.0030891918478258974
31;2.4675522831221906e-05;0.030920857171752685;2.926470876653024e-06;0.003089150547615333
32;1.8322299454551574e-05;0.030921801988267467;2.1729904615928043e-06;0.0030892449395798836
33;1.7381920139031976e-05;0.03092241690747088;2.0614632328204625e-06;0.0030893063731288768
34;1.566617631409269e-05;0.030922784845755835;1.857979222782435e-06;0.003089343132030745
35;1.4669272013843453e-05;0.030926133514698237;1.73974823649515e-06;0.003089677681051807
36;1.301668301056804e-05;0.030923776750097633;1.5437542702379011e-06;0.0030894422283081744
37;1.2200952577688589e-05;0.03092387688988684;1.4470101659143776e-06;0.0030894522327813024
38;1.1166937598844951e-05;0.030923982569522866;1.3243779225245825e-06;0.003089462790713241
39;1.0478382777161505e-05;0.030923966306321275;1.2427166079328515e-06;0.0030894611659368697
40;9.120047621336056e-06;0.0309244548006357;1.0816205978727425e-06;0.003089509968997876
41;8.884036864138791e-06;0.03092387510717191;1.0536301632935545e-06;0.0030894520546790338
42;8.466449469424716e-06;0.03092389693078443;1.0041050789641548e-06;0.0030894542349686745
43;7.80469948222723e-06;0.030923701239625276;9.256227676305726e-07;0.003089434684428788
44;7.4272138470433805e-06;0.030923654737762873;8.808536770108323e-07;0.0030894300386567477
45;6.9675891426819215e-06;0.03092354376898804;8.263430463464206e-07;0.003089418952313001
46;6.4179038686310955e-06;0.030923216124018382;7.611514004859563e-07;0.00308938621891781
47;6.07800448298942e-06;0.03092387342700196;7.208399687940578e-07;0.0030894518868215294
48;5.758654904573159e-06;0.03092439862826491;6.829657058210352e-07;0.0030895043570929722
49;5.515322494135254e-06;0.03092459204346647;6.541069368554061e-07;0.0030895236802531453
50;5.32701986377706e-06;0.030924573401657076;6.317745969285239e-07;0.003089521817841784
