N;min(speedup_output);gmean(speedup_output);max(speedup_output)
1;99.63522750238911;144.07539919348577;155.878096344643
2;130.36469650396188;155.72229604367342;169.72537046412117
3;116.85447447051403;153.93305911943096;168.2099842334497
4;129.38701705426791;151.81899027317107;166.48043104099168
5;139.10946821247967;148.90170652985782;161.63167412028625
6;117.10458676879166;148.0663102581411;162.94104383440447
7;129.51826264464995;147.09402304027748;159.73209326053743
8;109.36607992747079;144.75410817213347;158.45125373841768
9;126.73832734648458;142.5341915330288;153.79672644676134
10;103.68279971336761;139.6929422428351;152.6626603050463
11;115.82757629733646;137.6525414170791;151.4198965307875
12;120.55254011772149;136.0887492286543;148.9710071318956
13;119.45633230804813;133.71021990468117;146.17935057121412
14;98.89838475037213;130.60710338544712;141.67078716193896
15;101.18221425789581;127.48439033636802;139.51330520042683
16;84.63331127781134;124.03660145427185;136.46725903283826
17;107.55899164566607;123.6825526439784;134.42932528905416
18;89.98468217361555;120.24060807272396;131.58748020924668
19;100.71705506569948;118.55854748993836;129.9253750941457
20;65.01737556092125;115.06140350625607;125.40430212567087
21;98.45419901015637;113.14587299340027;123.876901905355
22;95.56383340882662;109.61933424069386;119.4852567106394
23;95.25634247810443;108.1926468714597;117.87520397044709
24;91.84514315303431;104.36973813945919;114.1995388243902
25;88.92556549571266;100.62534002819056;116.33471750870163
26;88.71831175885939;98.82878721437521;112.57969496286408
27;79.87288192104431;95.69327839162843;106.60771828108506
28;83.89279058336115;92.47514038325858;106.6981263746493
29;76.79958661977555;90.49234767638497;103.42645878560926
30;76.53019506048074;88.05425764564417;100.75767013307374
31;74.22733632608553;85.81276891069272;98.43469332876066
32;72.38094574816446;82.66520480030503;92.78387209104184
33;7.4802589778641915;77.95761084195213;91.51445515990555
34;62.33221555874606;77.3773013712604;88.03657284281658
35;61.74248255330052;74.79756931412805;85.3956600888982
36;61.61504762303648;71.92936525148396;82.4274062855717
37;59.83863146903162;70.45690991393792;79.9719890609572
38;58.94553641737427;68.23735825448173;78.03727828678045
39;54.64156798121559;65.67533623187217;74.68607247709764
40;57.602962904445064;63.809761227153864;71.50796410466229
41;54.22262063274485;61.48439313843933;69.85382869795156
42;49.26564927707228;59.66317110367479;68.04309362538426
43;50.92907386001361;57.55505841975368;66.08572387373451
44;44.984570383685686;55.64556447029658;63.331353134381295
45;49.1264242486931;53.96384621619093;61.42940838077719
46;46.57317232815701;51.89135845206001;59.671519931208834
47;40.362054928223664;49.89496582880286;56.848906235318395
48;40.64660986702422;48.082703791563965;55.44153046384148
49;38.17544047897846;46.29380780113799;50.76831166175816
50;26.58868118411201;44.305450022645154;52.18470710432552
