N;min(speedup_solve);gmean(speedup_solve);max(speedup_solve)
1;120.83813839249238;183.75257579140464;199.43661745310436
2;168.22435056833504;201.97169600675818;220.3038334517132
3;142.6071234079933;199.532882513908;219.21770052276227
4;168.9368519370094;197.81693613612825;216.41413737276986
5;178.47909418989778;192.10324242509566;208.86499463854244
6;142.31739475247815;190.86709957969958;211.58128680811066
7;163.1370009208976;189.46058171712764;206.36927711003898
8;131.25447023399474;186.17659144571496;204.00408981101353
9;158.03930330434363;183.02506225822236;197.57077414151965
10;122.9900796982053;178.89907962037145;196.17019219069468
11;149.65692442106746;176.1689016740652;193.84043198849207
12;153.4181037419728;173.82212455496304;191.1905254100703
13;151.03043358554066;170.52268319577038;187.6867660411609
14;117.9246935449999;165.99008868461095;180.2853869018853
15;137.50114336950668;161.65065016766317;177.47320897490582
16;102.8117477245536;156.63626187336968;172.62742645031219
17;135.39932435836312;156.11732857869447;171.14517865757048
18;128.24804287282572;151.88365808156345;166.1150345172688
19;123.84798803513712;148.54729069277462;162.45431740813183
20;78.16441935084104;143.81208725005948;157.157678429921
21;122.67005462678702;140.86575576149798;154.84391805245593
22;115.35145800860099;135.8786198760732;148.70085424911025
23;120.31007309423451;133.8815676782584;145.42015874872533
24;109.57228966642603;128.73889530561607;141.24947048091263
25;106.2112664067119;123.93113598607323;143.36576976755123
26;106.46885742922477;120.88383542247773;139.32810704062916
27;100.02629288438774;117.01700219884127;129.2403267683058
28;99.98042216935758;112.20167141792618;129.59232403745114
29;89.99641240243778;109.3599919077;125.26360986337072
30;89.09769641712458;106.15602537866191;121.86360601556736
31;86.2470008962955;102.87567432316294;117.96456190678106
32;87.58419341738711;98.87481034738333;110.58642655777915
33;7.324524733398958;92.58257788866243;108.83384653006881
34;73.82012276747103;91.81040727763926;104.27927435121086
35;72.4237784053035;88.39332585810526;101.12916799369457
36;72.43060927367013;84.5100974579557;96.91917864573314
37;68.44730250142806;82.57131565649796;93.60042235317356
38;71.88484138175527;79.8550964684047;91.24333763817656
39;61.56311323604056;76.47512371782966;87.06623239303147
40;65.38490777362328;73.9735042620193;82.93258049702348
41;61.44367615229274;71.13786350609553;81.68604838516268
42;54.71175122237209;68.59750632146168;78.30232696542389
43;57.03896349923179;65.99651036986779;75.84263751612787
44;49.42624909830433;63.70829862703622;72.94741125364433
45;55.31659153746207;61.536373484330426;69.99258758478166
46;51.87258131366737;58.90022060356158;67.83119222467997
47;44.25625292454444;56.46576613084305;64.54349915273117
48;45.58562514750163;54.28035966963205;62.64200885253761
49;42.65079365492572;52.092108674583166;57.4988221155936
50;29.47430330890082;49.52973088865625;58.30015158489566
