N;gmean(error_output);max(error_output);gmean(relative_error_output);max(relative_error_output)
1;6.305556949208595e-05;0.0004465961852599641;0.053420343760939376;0.39379462920968566
2;2.281198260943239e-05;0.000119587216425035;0.019326190575717526;0.12250768763334854
3;7.643613253404685e-06;7.15126490599162e-05;0.006475628574313323;0.06305763024813871
4;3.987849103754648e-06;4.931336252844698e-05;0.0033784845923255776;0.04348298967369945
5;3.228184553070675e-06;4.63842000603884e-05;0.0027349008174517324;0.040900145291962044
6;1.3751779104365124e-06;4.559694021474478e-05;0.0011650434259766538;0.04020596403999626
7;7.258463789377267e-07;4.516070837950678e-05;0.0006149331992846892;0.03982130837235545
8;7.856504864985921e-07;4.258433696174152e-05;0.0006655989217569728;0.0375495441686941
9;2.5248245222351214e-07;4.277668252961747e-05;0.00021390179329167333;0.037719148509442656
10;7.39161830807977e-08;4.240507552483175e-05;6.26213979427832e-05;0.03739147700777917
11;7.704583721916128e-08;4.254428595149018e-05;6.527282431591618e-05;0.03751422843324459
12;7.614948680719761e-08;4.2527470981063714e-05;6.451344100492484e-05;0.0374994015151857
13;6.012036103130483e-08;4.263410276994159e-05;5.09336507336944e-05;0.03759342611089219
14;3.447935293761329e-08;4.2544655578413e-05;2.9210724784798537e-05;0.037514554358771546
15;1.3229074314940843e-08;4.255434157128188e-05;1.12076015367977e-05;0.037523095166096414
16;1.3085609281741666e-08;4.249477680352137e-05;1.1086058722215113e-05;0.03747057280605755
17;3.0470971814071734e-09;4.2516188300905505e-05;2.58148455742978e-06;0.03748945279865825
18;1.8255338674762354e-09;4.250047482910052e-05;1.5465826021927736e-06;0.03747559714783257
19;6.249701578107432e-10;4.252366058968976e-05;5.294714002189546e-07;0.03749604163055664
20;5.331981443176861e-10;4.2510935042372466e-05;4.5172263753356136e-07;0.037484820638634404
21;5.768871648897212e-10;4.252324144425612e-05;4.887357438513108e-07;0.03749567204114663
22;5.967801956840235e-10;4.253898476385895e-05;5.05589013943684e-07;0.03750955401083232
23;2.417062271498204e-10;4.2526214589101025e-05;2.0477223261180382e-07;0.037498293667820634
24;2.4073138678553943e-10;4.2528852173043946e-05;2.039463530298505e-07;0.03750061940732557
25;1.7644276257616148e-10;4.2539563212609655e-05;1.4948137185774607e-07;0.037510064068953776
26;1.620925197390793e-10;4.253981556081449e-05;1.373239223003962e-07;0.037510286581754
27;1.527645086905953e-10;4.2533381922952446e-05;1.2942128085524368e-07;0.03750461359994186
28;1.2870090835311432e-10;4.2525518787476374e-05;1.0903472638418476e-07;0.037497680131584034
29;1.0908998538552869e-10;4.2528772696875244e-05;9.242045654511471e-08;0.037500549327711324
30;9.294107477200448e-11;4.252926383071717e-05;7.873918519528757e-08;0.037500982394261285
31;5.893435501860599e-11;4.2532039645059444e-05;4.992887273531503e-08;0.037503430021034075
32;6.300118164099604e-11;4.253143697847614e-05;5.3374266662198577e-08;0.037502898608380894
33;6.372914924942417e-11;4.253080941078388e-05;5.399099695584757e-08;0.03750234523870414
34;5.0466009095628274e-11;4.253019763286042e-05;4.275453502120071e-08;0.03750180579195453
35;5.232969211791543e-11;4.2528550873742466e-05;4.43334373848457e-08;0.03750035373097045
36;4.8023589644085047e-11;4.253038858862204e-05;4.0685330226750015e-08;0.03750197417080734
37;4.4444542737135155e-11;4.252987874940259e-05;3.765318068554595e-08;0.037501524610437126
38;2.5516049004231578e-11;4.253061055091781e-05;2.161706127161555e-08;0.03750216989025781
39;2.1597667340859432e-11;4.25306947876708e-05;1.8297429126033635e-08;0.03750224416760724
40;2.2640911235740262e-11;4.253067333680194e-05;1.9181259816009887e-08;0.0375022252528981
41;1.9720502337044912e-11;4.253061293846283e-05;1.6707104899204187e-08;0.037502171995520764
42;1.4265710304098278e-11;4.253115248797901e-05;1.2085834044121273e-08;0.037502647753506785
43;1.6590045495599397e-11;4.2530705114951495e-05;1.4054998480281297e-08;0.03750225327388223
44;1.4859657266626074e-11;4.25308842423415e-05;1.2589022757974422e-08;0.037502411222844756
45;1.5712203924066137e-11;4.253052404121216e-05;1.3311295760653547e-08;0.03750209360868939
46;1.5086535964258324e-11;4.253107140751375e-05;1.2781233186286755e-08;0.03750257625927372
47;1.8280595476340688e-11;4.253115270951707e-05;1.5487223450156272e-08;0.037502647948852164
48;1.5826164764260558e-11;4.253120055738857e-05;1.3407842779537098e-08;0.03750269013961741
49;9.047405963911018e-12;4.253147118116196e-05;7.664914307015466e-09;0.037502928767245716
50;1.0102967134627995e-11;4.2531439409101285e-05;8.559180127697263e-09;0.03750290075163057
