N;gmean(error_p);max(error_p);gmean(relative_error_p);max(relative_error_p)
1;0.04297309036240175;0.05860664557669447;0.530095349439575;0.7617884389434163
2;0.031450761089374744;0.06196963075240504;0.3879614439923859;0.6655485109134748
3;0.02086644419665207;0.04958276181581791;0.25739840757795235;0.5325146026017654
4;0.012820862532351474;0.03590442658405364;0.15815198643823478;0.4082382117684815
5;0.007233138027772448;0.022787722508765318;0.0892245076637866;0.32206666564519454
6;0.00439934176723886;0.017603069358780553;0.05426816158069442;0.2487901917939724
7;0.002574384712571663;0.008968748686606668;0.03175637014452559;0.1267583885749903
8;0.0014771141761108983;0.00547189623984284;0.01822096918663155;0.07733617855162073
9;0.0007324133635082992;0.0024555861677607502;0.00903469856575255;0.029627429571378917
10;0.00043725291157011877;0.0018181288537767535;0.005393741362269542;0.019526547707127962
11;0.0003228316076599321;0.0018724500603183518;0.00398229525569236;0.020109952799038745
12;0.00014781514743363497;0.0009625774317305898;0.001823376479803996;0.010337998928650187
13;0.00011128812302736737;0.0009204222492828647;0.0013727966959593226;0.009885255890411566
14;6.568634594605843e-05;0.0006936427834383037;0.0008102751329736704;0.0074496639082414435
15;3.574774475732751e-05;0.00038993248868498;0.00044096696534982833;0.005525918053543979
16;2.0109629237296776e-05;0.0003772649083526344;0.00024806270267618163;0.0053463997705476135
17;8.699016879099673e-06;0.0003710987691428371;0.00010730688329414744;0.005259016490187993
18;4.9277328018472135e-06;0.000370715924909491;6.0786138942092556e-05;0.005253591023159387
19;3.008482823662244e-06;0.0003687027231785049;3.711119540724275e-05;0.005225060987541684
20;1.5543805342148713e-06;0.0003624154777663625;1.9174089773343754e-05;0.005135961453806532
21;1.1444409915594137e-06;0.00036263555634989577;1.4117272977519997e-05;0.005139080291690613
22;7.206752793046256e-07;0.00036574280422212456;8.889903211375643e-06;0.005183114573552817
23;4.847771526788612e-07;0.0003605175262670004;5.979977515753893e-06;0.005109064683828617
24;3.875021346640588e-07;0.00036016687177082944;4.7800397353560205e-06;0.0051040953928175445
25;3.6239051858345316e-07;0.0003600436121769483;4.470274931638584e-06;0.005102348622710243
26;3.2687972159885824e-07;0.0003600155422882007;4.0322308399133114e-06;0.005101950831016829
27;2.5744448332177666e-07;0.0003598752897816266;3.175711176386555e-06;0.0050999632462922365
28;2.3519362284495302e-07;0.00035967421424958166;2.901235276228508e-06;0.005097113709654753
29;2.134852550069067e-07;0.0003602581535044762;2.633451304030408e-06;0.00510538898951583
30;2.0035331388514296e-07;0.00036036137370970155;2.4714620019100193e-06;0.0051068517719515
31;1.648220996467401e-07;0.0003603548594385765;2.0331660527734935e-06;0.005106759455128819
32;1.6091314699470666e-07;0.00036041162839863536;1.984947095175892e-06;0.005107563954959874
33;1.553946612605374e-07;0.0003604251287366316;1.9168737125319733e-06;0.0051077552746463
34;1.4589060048234963e-07;0.00036032089425507306;1.7996361953596875e-06;0.005106278118420132
35;1.367144999040511e-07;0.0003603926119788466;1.6864442372872135e-06;0.005107294464264757
36;1.3260820470252303e-07;0.00036044276564195006;1.6357909570274223e-06;0.005108005215588221
37;1.2165646952490983e-07;0.0003604271418162909;1.5006956255772455e-06;0.005107783802951981
38;1.0634178841394552e-07;0.00036043606615073664;1.3117810940271704e-06;0.005107910273923908
39;7.870385673914524e-08;0.0003604306224036072;9.708528776622942e-07;0.005107833128004
40;7.280591398204432e-08;0.000360431246277997;8.980986959072938e-07;0.00510784196922358
41;7.10769308295118e-08;0.000360395516017509;8.767707923125652e-07;0.005107335618772623
42;6.038349880854758e-08;0.00036039421257905917;7.448617642194684e-07;0.00510731714712876
43;5.004531478338828e-08;0.00036037960800564683;6.173349043364209e-07;0.005107110178799048
44;4.904551686569486e-08;0.0003603881973103992;6.050018786666544e-07;0.0051072319019064465
45;4.618783855622725e-08;0.0003603415112838466;5.69750935128079e-07;0.005106570292103567
46;3.938049370835653e-08;0.0003603379626727313;4.857788070950235e-07;0.005106520003054062
47;3.7176274245721296e-08;0.00036029190823160835;4.585886172242636e-07;0.005105867343747562
48;3.503499428814135e-08;0.00036029329070832826;4.321748187799575e-07;0.0051058869354802
49;2.9939391196309146e-08;0.00036030925078044866;3.693179127769065e-07;0.005106113113224361
50;2.8784177268105984e-08;0.00036019375802337825;3.550677500405501e-07;0.005104476410641559
